CD_GEOCMU;NM_MUNICIP;NM_TI;Ano2001;Ano2002;Ano2003;Ano2004;Ano2005;Ano2006;Ano2007;Ano2008;Ano2009;Ano2011;Ano2012;Ano2013;Ano2014;Ano2015;Ano2016;Ano2017;Ano2018;Ano2019;Ano2020
2900108;Abaíra;Chapada Diamantina;9114;9133;9163;9228;9263;9298;8638;8851;8821;8687;8659;9132;9243;9226;9212;9199;8767;8739;8710
2900207;Abaré;Itaparica;13894;14111;14325;14776;15026;15268;17342;18362;18831;17380;17685;18989;19290;19574;19939;20189;19814;20086;20347
2900306;Acajutiba;Litoral Norte e Agreste Baiano;14438;14622;14762;15055;15217;15374;14628;15123;15192;14692;14730;15615;15668;15717;15764;15727;15129;15159;15187
2900355;Adustina;Semiárido Nordeste II;14471;14426;14483;14604;14670;14735;14824;15354;15448;15810;15914;16929;17044;17153;17254;17349;16784;17040;17126
2900405;Água Fria;Portal do Sertão;14793;14839;14895;15012;15077;15140;14810;15284;15328;15809;15884;16871;16959;17043;17431;17508;16901;16970;17033
2900504;Érico Cardoso;Bacia do Paramirim;12315;12428;12552;12814;12958;12504;10609;10809;10717;10802;10746;11509;11472;11437;11405;11212;10662;10610;10560
2900603;Aiquara;Médio Rio de Contas;5149;5042;4915;4650;4502;4360;5212;5361;5361;4569;4536;4767;4790;4767;4745;4725;4478;4446;4416
2900702;Alagoinhas;Litoral Norte e Agreste Baiano;131179;132873;134162;136868;138366;139818;132725;137202;137810;142870;143460;152570;153560;154495;155362;155979;150832;151596;152327
2900801;Alcobaça;Extremo Sul;21470;21894;22355;23323;23858;24378;19840;20320;20242;21300;21328;23176;23231;23282;23331;23376;22449;22470;22490
2900900;Almadina;Litoral Sul;7504;7411;7202;6763;6520;6284;6687;6742;6621;6242;6130;6327;6234;6145;6062;5985;5566;5464;5366
2901007;Amargosa;Vale do Jiquiriçá;31082;31756;32057;32689;33039;33378;33554;34918;35278;34602;34845;37081;37557;37807;38041;38259;37031;37241;37441
2901106;Amélia Rodrigues;Portal do Sertão;24309;24419;24551;24829;24983;25132;22096;24192;24491;25134;25080;26477;26458;26441;26424;26409;25224;25102;25048
2901155;América Dourada;Irecê;15943;15958;15957;15956;15955;15955;16189;16723;16787;15962;15962;16884;16904;16923;16781;16798;16097;16094;16090
2901205;Anagé;Sudoeste Baiano;40621;28854;27830;25681;24492;23338;25716;25823;25262;25049;19889;20698;20388;20096;19824;19568;18194;22005;21607
2901304;Andaraí;Chapada Diamantina;13769;13800;13760;13678;13633;13589;14088;14554;14609;13951;13942;14738;13716;13723;13732;13737;13153;13143;13132
2901353;Andorinha;Piemonte Norte do Itapicuru;15557;15480;15344;15058;14899;14746;14132;14359;14201;14310;14209;14936;14862;14791;15551;15490;14690;14595;14503
