CodigodoMunicipio; Municipios;TerritoriosdeIdentidade;Ano;Branca;Preta;Amarela;Parda;Indigena;Ignorado
2900108;Abaíra;Chapada Diamantina;1991;73,7;4,2;;21,5;;0,6
2900207;Abaré;Itaparica;1991;16,4;6,1;;77,1;0,2;0,2
2900306;Acajutiba;Litoral Norte e Agreste Baiano;1991;12,9;7,1;;80;;0,1
2900355;Adustina;Semiárido Nordeste II;1991;5,7;1,2;;92,2;;0,9
2900405;Água Fria;Portal do Sertão;1991;6,5;6,7;;86,8;;0
2900603;Aiquara;Médio Rio de Contas;1991;4,9;6,1;0,3;77,2;;11,5
2900702;Alagoinhas;Litoral Norte e Agreste Baiano;1991;16,8;14;0;68,9;0;0,2
2900801;Alcobaça;Extremo Sul;1991;8,2;14,9;2,6;71,9;0,1;2,3
2900900;Almadina;Litoral Sul;1991;20,1;11,2;;68,4;;0,3
2901007;Amargosa;Vale do Jiquiriçá;1991;22,3;16;0;61,5;0;0,2
2901106;Amélia Rodrigues;Portal do Sertão;1991;4,2;16,7;;78,7;;0,4
2901155;América Dourada;Irecê;1991;17,6;14,1;0,1;67,6;;0,6
2901205;Anagé;Sudoeste Baiano;1991;28,4;2;;68,9;;0,8
2901304;Andaraí;Chapada Diamantina;1991;5,6;16,7;0,1;77;0;0,6
2901353;Andorinha;Piemonte Norte do Itapicuru;1991;18,7;1,1;;80,2;0;
2901403;Angical;Bacia do Rio Grande;1991;19,7;2,6;0;76,4;0;1,2
2901502;Anguera;Portal do Sertão;1991;7,8;8,4;0,1;83,2;0,4;0,1
2901601;Antas;Semiárido Nordeste II;1991;35,4;2,9;;60,8;0,1;0,8
2901700;Antônio Cardoso;Portal do Sertão;1991;9;23,9;;66,4;;0,8
2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;1991;14,2;3;;82,6;;0,2
2901908;Aporá;Litoral Norte e Agreste Baiano;1991;16,8;7,7;0,1;74,9;0,3;0,3
2901957;Apuarema;Médio Rio de Contas;1991;13;10,1;;76,4;;0,5
2902054;Araçás;Litoral Norte e Agreste Baiano;1991;5,8;17,2;0,1;76,9;;
2902005;Aracatu;Sudoeste Baiano;1991;53,6;5,6;;40,5;;0,3
2902104;Araci;Sisal;1991;17;6,2;;76,2;;0,6
2902203;Aramari;Litoral Norte e Agreste Baiano;1991;4,5;34,2;0,3;59,7;;1,3
2902252;Arataca;Litoral Sul;1991;7,6;6;0,1;84,9;0,2;1,2
2902302;Aratuípe;Baixo Sul;1991;4,3;16,4;;78,9;;0,4
2902401;Aurelino Leal;Litoral Sul;1991;9,4;9;;80,8;;0,7
2902500;Baianópolis;Bacia do Rio Grande;1991;31,4;2,6;;65,9;;0,1
2902609;Baixa Grande;Bacia do Jacuípe;1991;12,3;7,6;0,1;79,3;;0,6
2902658;Banzaê;Semiárido Nordeste II;1991;33;2,8;;54,3;9,8;0,1
2902708;Barra;Velho Chico;1991;10,4;11,9;0;77,2;0;0,5
2902807;Barra da Estiva;Chapada Diamantina;1991;29,3;9,7;0,7;58,9;0,1;1,3
