Genero;Ano;Populacao;FaixaEtaria
Homem;2010;579001;00-04
Homem;2011;568243;00-04
Homem;2012;559442;00-04
Homem;2013;549058;00-04
Homem;2014;539080;00-04
Homem;2015;533582;00-04
Homem;2016;529044;00-04
Homem;2017;525467;00-04
Homem;2018;525960;00-04
Homem;2019;526730;00-04
Homem;2020;525049;00-04
Homem;2021;523332;00-04
Homem;2022;520398;00-04
Homem;2023;514609;00-04
Homem;2024;508512;00-04
Homem;2025;502132;00-04
Homem;2026;495519;00-04
Homem;2027;488758;00-04
Homem;2028;481881;00-04
Homem;2029;474889;00-04
Homem;2030;467859;00-04
Homem;2031;460859;00-04
Homem;2032;453919;00-04
Homem;2033;447087;00-04
Homem;2034;440397;00-04
Homem;2035;433846;00-04
Homem;2036;427453;00-04
Homem;2037;421232;00-04
Homem;2038;415170;00-04
Homem;2039;409254;00-04
Homem;2040;403490;00-04
Homem;2041;397892;00-04
Homem;2042;392477;00-04
Homem;2043;387239;00-04
Homem;2044;382174;00-04
Homem;2045;377269;00-04
Homem;2046;372509;00-04
Homem;2047;367878;00-04
Homem;2048;363358;00-04
Homem;2049;358948;00-04
Homem;2050;354621;00-04
Homem;2051;350337;00-04
Homem;2052;346056;00-04
Homem;2053;341757;00-04
Homem;2054;337423;00-04
Homem;2055;333044;00-04
Homem;2056;328610;00-04
Homem;2057;324121;00-04
Homem;2058;319580;00-04
Homem;2059;314988;00-04
Homem;2060;310363;00-04
Mulher;2010;-554643;00-04
Mulher;2011;-543844;00-04
Mulher;2012;-535038;00-04
Mulher;2013;-524811;00-04
Mulher;2014;-515038;00-04
Mulher;2015;-509586;00-04
Mulher;2016;-505091;00-04
Mulher;2017;-501539;00-04
Mulher;2018;-501883;00-04
Mulher;2019;-502517;00-04
Mulher;2020;-500827;00-04
Mulher;2021;-499112;00-04
Mulher;2022;-496250;00-04
Mulher;2023;-490673;00-04
Mulher;2024;-484811;00-04
Mulher;2025;-478683;00-04
Mulher;2026;-472343;00-04
Mulher;2027;-465871;00-04
Mulher;2028;-459290;00-04
Mulher;2029;-452603;00-04
Mulher;2030;-445884;00-04
Mulher;2031;-439192;00-04
Mulher;2032;-432563;00-04
Mulher;2033;-426039;00-04
Mulher;2034;-419652;00-04
Mulher;2035;-413401;00-04
Mulher;2036;-407299;00-04
Mulher;2037;-401364;00-04
Mulher;2038;-395579;00-04
Mulher;2039;-389936;00-04
Mulher;2040;-384438;00-04
Mulher;2041;-379098;00-04
Mulher;2042;-373934;00-04
Mulher;2043;-368942;00-04
Mulher;2044;-364110;00-04
Mulher;2045;-359434;00-04
Mulher;2046;-354896;00-04
Mulher;2047;-350477;00-04
Mulher;2048;-346168;00-04
Mulher;2049;-341964;00-04
Mulher;2050;-337840;00-04
Mulher;2051;-333758;00-04
Mulher;2052;-329675;00-04
Mulher;2053;-325575;00-04
Mulher;2054;-321444;00-04
Mulher;2055;-317270;00-04
Mulher;2056;-313045;00-04
Mulher;2057;-308766;00-04
Mulher;2058;-304440;00-04
Mulher;2059;-300062;00-04
Mulher;2060;-295655;00-04
Homem;2010;631196;05-09
Homem;2011;619165;05-09
Homem;2012;607789;05-09
Homem;2013;596020;05-09
Homem;2014;584639;05-09
Homem;2015;572562;05-09
Homem;2016;561950;05-09
Homem;2017;553286;05-09
Homem;2018;543039;05-09
Homem;2019;533188;05-09
Homem;2020;527807;05-09
Homem;2021;523386;05-09
Homem;2022;519919;05-09
Homem;2023;520511;05-09
Homem;2024;521380;05-09
Homem;2025;519801;05-09
Homem;2026;518188;05-09
Homem;2027;515360;05-09
Homem;2028;509678;05-09
Homem;2029;503690;05-09
Homem;2030;497414;05-09
Homem;2031;490899;05-09
Homem;2032;484224;05-09
Homem;2033;477421;05-09
Homem;2034;470484;05-09
Homem;2035;463494;05-09
Homem;2036;456523;05-09
Homem;2037;449608;05-09
Homem;2038;442802;05-09
Homem;2039;436141;05-09
Homem;2040;429615;05-09
Homem;2041;423243;05-09
Homem;2042;417044;05-09
Homem;2043;411006;05-09
Homem;2044;405110;05-09
Homem;2045;399367;05-09
Homem;2046;393792;05-09
Homem;2047;388393;05-09
Homem;2048;383172;05-09
Homem;2049;378126;05-09
Homem;2050;373236;05-09
Homem;2051;368488;05-09
Homem;2052;363874;05-09
Homem;2053;359368;05-09
Homem;2054;354971;05-09
Homem;2055;350657;05-09
Homem;2056;346388;05-09
Homem;2057;342120;05-09
Homem;2058;337831;05-09
Homem;2059;333510;05-09
Homem;2060;329143;05-09
Mulher;2010;-609503;05-09
Mulher;2011;-596761;05-09
Mulher;2012;-584787;05-09
Mulher;2013;-572555;05-09
Mulher;2014;-560840;05-09
Mulher;2015;-548625;05-09
Mulher;2016;-537969;05-09
Mulher;2017;-529294;05-09
Mulher;2018;-519202;05-09
Mulher;2019;-509553;05-09
Mulher;2020;-504213;05-09
Mulher;2021;-499830;05-09
Mulher;2022;-496381;05-09
Mulher;2023;-496826;05-09
Mulher;2024;-497559;05-09
Mulher;2025;-495969;05-09
Mulher;2026;-494355;05-09
Mulher;2027;-491591;05-09
Mulher;2028;-486116;05-09
Mulher;2029;-480354;05-09
Mulher;2030;-474325;05-09
Mulher;2031;-468078;05-09
Mulher;2032;-461678;05-09
Mulher;2033;-455156;05-09
Mulher;2034;-448515;05-09
Mulher;2035;-441824;05-09
Mulher;2036;-435150;05-09
Mulher;2037;-428539;05-09
Mulher;2038;-422034;05-09
Mulher;2039;-415663;05-09
Mulher;2040;-409426;05-09
Mulher;2041;-403339;05-09
Mulher;2042;-397415;05-09
Mulher;2043;-391639;05-09
Mulher;2044;-386009;05-09
Mulher;2045;-380523;05-09
Mulher;2046;-375195;05-09
Mulher;2047;-370043;05-09
Mulher;2048;-365059;05-09
Mulher;2049;-360236;05-09
Mulher;2050;-355569;05-09
Mulher;2051;-351034;05-09
Mulher;2052;-346625;05-09
Mulher;2053;-342324;05-09
Mulher;2054;-338126;05-09
Mulher;2055;-334009;05-09
Mulher;2056;-329934;05-09
Mulher;2057;-325861;05-09
Mulher;2058;-321766;05-09
Mulher;2059;-317643;05-09
Mulher;2060;-313472;05-09
Homem;2010;690972;10-14
Homem;2011;681320;10-14
Homem;2012;667284;10-14
Homem;2013;653115;10-14
Homem;2014;639020;10-14
Homem;2015;625828;10-14
Homem;2016;613909;10-14
Homem;2017;602637;10-14
Homem;2018;590974;10-14
Homem;2019;579699;10-14
Homem;2020;567728;10-14
Homem;2021;557217;10-14
Homem;2022;548648;10-14
Homem;2023;538502;10-14
Homem;2024;528753;10-14
Homem;2025;523462;10-14
Homem;2026;519127;10-14
Homem;2027;515742;10-14
Homem;2028;516409;10-14
Homem;2029;517351;10-14
Homem;2030;515848;10-14
Homem;2031;514307;10-14
Homem;2032;511541;10-14
Homem;2033;505913;10-14
Homem;2034;499972;10-14
Homem;2035;493729;10-14
Homem;2036;487237;10-14
Homem;2037;480590;10-14
Homem;2038;473813;10-14
Homem;2039;466898;10-14
Homem;2040;459932;10-14
Homem;2041;452983;10-14
Homem;2042;446090;10-14
Homem;2043;439305;10-14
Homem;2044;432666;10-14
Homem;2045;426160;10-14
Homem;2046;419805;10-14
Homem;2047;413626;10-14
Homem;2048;407610;10-14
Homem;2049;401727;10-14
Homem;2050;396001;10-14
Homem;2051;390443;10-14
Homem;2052;385057;10-14
Homem;2053;379849;10-14
Homem;2054;374816;10-14
Homem;2055;369940;10-14
Homem;2056;365204;10-14
Homem;2057;360603;10-14
Homem;2058;356108;10-14
Homem;2059;351723;10-14
Homem;2060;347420;10-14
Mulher;2010;-667016;10-14
Mulher;2011;-657348;10-14
Mulher;2012;-643837;10-14
Mulher;2013;-630391;10-14
Mulher;2014;-616895;10-14
Mulher;2015;-603945;10-14
Mulher;2016;-591315;10-14
Mulher;2017;-579455;10-14
Mulher;2018;-567332;10-14
Mulher;2019;-555724;10-14
Mulher;2020;-543619;10-14
Mulher;2021;-533062;10-14
Mulher;2022;-524484;10-14
Mulher;2023;-514493;10-14
Mulher;2024;-504944;10-14
Mulher;2025;-499697;10-14
Mulher;2026;-495403;10-14
Mulher;2027;-492041;10-14
Mulher;2028;-492570;10-14
Mulher;2029;-493385;10-14
Mulher;2030;-491879;10-14
Mulher;2031;-490340;10-14
Mulher;2032;-487639;10-14
Mulher;2033;-482213;10-14
Mulher;2034;-476486;10-14
Mulher;2035;-470474;10-14
Mulher;2036;-464238;10-14
Mulher;2037;-457848;10-14
Mulher;2038;-451338;10-14
Mulher;2039;-444708;10-14
Mulher;2040;-438029;10-14
Mulher;2041;-431362;10-14
Mulher;2042;-424763;10-14
Mulher;2043;-418269;10-14
Mulher;2044;-411905;10-14
Mulher;2045;-405674;10-14
Mulher;2046;-399593;10-14
Mulher;2047;-393677;10-14
Mulher;2048;-387912;10-14
Mulher;2049;-382292;10-14
Mulher;2050;-376811;10-14
Mulher;2051;-371490;10-14
Mulher;2052;-366343;10-14
Mulher;2053;-361360;10-14
Mulher;2054;-356541;10-14
Mulher;2055;-351878;10-14
Mulher;2056;-347348;10-14
Mulher;2057;-342947;10-14
Mulher;2058;-338653;10-14
Mulher;2059;-334463;10-14
Mulher;2060;-330349;10-14
Homem;2010;677584;15-19
Homem;2011;677820;15-19
Homem;2012;679248;15-19
Homem;2013;680510;15-19
Homem;2014;679604;15-19
Homem;2015;675357;15-19
Homem;2016;665983;15-19
Homem;2017;652275;15-19
Homem;2018;638452;15-19
Homem;2019;624715;15-19
Homem;2020;611864;15-19
Homem;2021;600258;15-19
Homem;2022;589280;15-19
Homem;2023;577930;15-19
Homem;2024;566968;15-19
Homem;2025;555306;15-19
Homem;2026;545087;15-19
Homem;2027;536790;15-19
Homem;2028;526932;15-19
Homem;2029;517464;15-19
Homem;2030;512429;15-19
Homem;2031;508306;15-19
Homem;2032;505093;15-19
Homem;2033;505862;15-19
Homem;2034;506868;15-19
Homem;2035;505428;15-19
Homem;2036;503936;15-19
Homem;2037;501222;15-19
Homem;2038;495673;15-19
Homem;2039;489812;15-19
Homem;2040;483645;15-19
Homem;2041;477232;15-19
Homem;2042;470661;15-19
Homem;2043;463959;15-19
Homem;2044;457114;15-19
Homem;2045;450220;15-19
Homem;2046;443342;15-19
Homem;2047;436517;15-19
Homem;2048;429798;15-19
Homem;2049;423228;15-19
Homem;2050;416783;15-19
Homem;2051;410487;15-19
Homem;2052;404365;15-19
Homem;2053;398402;15-19
Homem;2054;392571;15-19
Homem;2055;386891;15-19
Homem;2056;381384;15-19
Homem;2057;376043;15-19
Homem;2058;370879;15-19
Homem;2059;365889;15-19
Homem;2060;361053;15-19
Mulher;2010;-667955;15-19
Mulher;2011;-665271;15-19
Mulher;2012;-663740;15-19
Mulher;2013;-662250;15-19
Mulher;2014;-659134;15-19
Mulher;2015;-653396;15-19
Mulher;2016;-643974;15-19
Mulher;2017;-630716;15-19
Mulher;2018;-617523;15-19
Mulher;2019;-604276;15-19
Mulher;2020;-591570;15-19
Mulher;2021;-579185;15-19
Mulher;2022;-567560;15-19
Mulher;2023;-555672;15-19
Mulher;2024;-544294;15-19
Mulher;2025;-532421;15-19
Mulher;2026;-522093;15-19
Mulher;2027;-513740;15-19
Mulher;2028;-503971;15-19
Mulher;2029;-494644;15-19
Mulher;2030;-489609;15-19
Mulher;2031;-485498;15-19
Mulher;2032;-482264;15-19
Mulher;2033;-482872;15-19
Mulher;2034;-483728;15-19
Mulher;2035;-482242;15-19
Mulher;2036;-480713;15-19
Mulher;2037;-478025;15-19
Mulher;2038;-472615;15-19
Mulher;2039;-466902;15-19
Mulher;2040;-460903;15-19
Mulher;2041;-454683;15-19
Mulher;2042;-448310;15-19
Mulher;2043;-441813;15-19
