;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;situacao_conjugal;total_civil
1;2900108;Abaíra;Chapada Diamantina;2000;casado;2926
2;2900207;Abaré;Itaparica;2000;casado;4085
3;2900306;Acajutiba;Litoral Norte e Agreste Baiano;2000;casado;3155
4;2900355;Adustina;Semiárido Nordeste II;2000;casado;1803
5;2900405;Água Fria;Portal do Sertão;2000;casado;2469
6;2900603;Aiquara;Médio Rio de Contas;2000;casado;878
7;2900702;Alagoinhas;Litoral Norte e Agreste Baiano;2000;casado;30796
8;2900801;Alcobaça;Extremo Sul;2000;casado;4139
9;2900900;Almadina;Litoral Sul;2000;casado;724
10;2901007;Amargosa;Vale do Jiquiriçá;2000;casado;7089
11;2901106;Amélia Rodrigues;Portal do Sertão;2000;casado;5193
12;2901155;América Dourada;Irecê;2000;casado;4780
13;2901205;Anagé;Sudoeste Baiano;2000;casado;7947
14;2901304;Andaraí;Chapada Diamantina;2000;casado;2342
15;2901353;Andorinha;Piemonte Norte do Itapicuru;2000;casado;4629
16;2901403;Angical;Bacia do Rio Grande;2000;casado;4401
17;2901502;Anguera;Portal do Sertão;2000;casado;1934
18;2901601;Antas;Semiárido Nordeste II;2000;casado;3203
19;2901700;Antônio Cardoso;Portal do Sertão;2000;casado;2040
20;2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;2000;casado;2940
21;2901908;Aporá;Litoral Norte e Agreste Baiano;2000;casado;3696
22;2901957;Apuarema;Médio Rio de Contas;2000;casado;710
23;2902054;Araçás;Litoral Norte e Agreste Baiano;2000;casado;1699
24;2902005;Aracatu;Sudoeste Baiano;2000;casado;4252
25;2902104;Araci;Sisal;2000;casado;6841
26;2902203;Aramari;Litoral Norte e Agreste Baiano;2000;casado;1714
27;2902252;Arataca;Litoral Sul;2000;casado;1041
28;2902302;Aratuípe;Baixo Sul;2000;casado;1205
29;2902401;Aurelino Leal;Litoral Sul;2000;casado;1336
30;2902500;Baianópolis;Bacia do Rio Grande;2000;casado;4293
31;2902609;Baixa Grande;Bacia do Jacuípe;2000;casado;4697
32;2902658;Banzaê;Semiárido Nordeste II;2000;casado;2934
33;2902708;Barra;Velho Chico;2000;casado;10623
34;2902807;Barra da Estiva;Chapada Diamantina;2000;casado;7428
35;2902906;Barra do Choça;Sudoeste Baiano;2000;casado;8638
36;2903003;Barra do Mendes;Irecê;2000;casado;3533
37;2903102;Barra do Rocha;Médio Rio de Contas;2000;casado;808
38;2903201;Barreiras;Bacia do Rio Grande;2000;casado;35382
39;2903235;Barro Alto;Irecê;2000;casado;4413
40;2903300;Barro Preto/Lomanto Junior;Litoral Sul;2000;casado;941
41;2903276;Barrocas;Sisal;2000;casado;NA
42;2903409;Belmonte;Costa do Descobrimento;2000;casado;2316
43;2903508;Belo Campo;Sudoeste Baiano;2000;casado;5007
44;2903607;Biritinga;Sisal;2000;casado;3087
45;2903706;Boa Nova;Médio Rio de Contas;2000;casado;5633
46;2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;2000;casado;3924
47;2903904;Bom Jesus da Lapa;Velho Chico;2000;casado;11947
48;2903953;Bom Jesus da Serra;Sudoeste Baiano;2000;casado;2008
49;2904001;Boninal;Chapada Diamantina;2000;casado;3570
50;2904050;Bonito;Chapada Diamantina;2000;casado;1830
51;2904100;Boquira;Bacia do Paramirim;2000;casado;4770
52;2904209;Botuporã;Bacia do Paramirim;2000;casado;2607
53;2904308;Brejões;Vale do Jiquiriçá;2000;casado;2340
54;2904407;Brejolândia;Bacia do Rio Corrente;2000;casado;3170
55;2904506;Brotas de Macaúbas;Velho Chico;2000;casado;3883
56;2904605;Brumado;Sertão Produtivo;2000;casado;17823
57;2904704;Buerarema;Litoral Sul;2000;casado;2882
58;2904753;Buritirama;Bacia do Rio Grande;2000;casado;5381
59;2904803;Caatiba;Médio Sudoeste da Bahia;2000;casado;3883
60;2904852;Cabaceiras do Paraguaçu;Recôncavo;2000;casado;3603
61;2904902;Cachoeira;Recôncavo;2000;casado;5600
62;2905008;Caculé;Sertão Produtivo;2000;casado;6867
63;2905107;Caém;Piemonte da Diamantina;2000;casado;2682
64;2905156;Caetanos;Sudoeste Baiano;2000;casado;2281
65;2905206;Caetité;Sertão Produtivo;2000;casado;13811
66;2905305;Cafarnaum;Irecê;2000;casado;3257
67;2905404;Cairu;Baixo Sul;2000;casado;919
68;2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;2000;casado;1907
69;2905602;Camacan;Litoral Sul;2000;casado;3893
70;2905701;Camaçari;Metropolitano de Salvador;2000;casado;30583
71;2905800;Camamu;Baixo Sul;2000;casado;2536
72;2905909;Campo Alegre de Lourdes;Sertão do São Francisco;2000;casado;10688
73;2906006;Campo Formoso;Piemonte Norte do Itapicuru;2000;casado;18946
74;2906105;Canápolis;Bacia do Rio Corrente;2000;casado;2861
75;2906204;Canarana;Irecê;2000;casado;4752
76;2906303;Canavieiras;Litoral Sul;2000;casado;3658
77;2906402;Candeal;Sisal;2000;casado;2430
78;2906501;Candeias;Metropolitano de Salvador;2000;casado;15521
79;2906600;Candiba;Sertão Produtivo;2000;casado;4532
80;2906709;Cândido Sales;Sudoeste Baiano;2000;casado;9565
81;2906808;Cansanção;Sisal;2000;casado;5522
82;2906824;Canudos;Sertão do São Francisco;2000;casado;1917
83;2906857;Capela do Alto Alegre;Bacia do Jacuípe;2000;casado;2888
84;2906873;Capim Grosso;Bacia do Jacuípe;2000;casado;5101
85;2906899;Caraíbas;Sudoeste Baiano;2000;casado;4379
86;2906907;Caravelas;Extremo Sul;2000;casado;4208
87;2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;2000;casado;964
88;2907103;Carinhanha;Velho Chico;2000;casado;5212
89;2907202;Casa Nova;Sertão do São Francisco;2000;casado;17821
90;2907301;Castro Alves;Recôncavo;2000;casado;5096
91;2907400;Catolândia;Bacia do Rio Grande;2000;casado;1160
92;2907509;Catu;Litoral Norte e Agreste Baiano;2000;casado;9415
93;2907558;Caturama;Bacia do Paramirim;2000;casado;2234
94;2907608;Central;Irecê;2000;casado;4742
95;2907707;Chorrochó;Itaparica;2000;casado;2856
96;2907806;Cícero Dantas;Semiárido Nordeste II;2000;casado;4746
97;2907905;Cipó;Semiárido Nordeste II;2000;casado;2665
98;2908002;Coaraci;Litoral Sul;2000;casado;3709
99;2908101;Côcos;Bacia do Rio Corrente;2000;casado;6185
100;2908200;Conceição da Feira;Portal do Sertão;2000;casado;4027
101;2908309;Conceição do Almeida;Recôncavo;2000;casado;3919
102;2908408;Conceição do Coité;Sisal;2000;casado;14250
103;2908507;Conceição do Jacuípe;Portal do Sertão;2000;casado;5009
104;2908606;Conde;Litoral Norte e Agreste Baiano;2000;casado;3856
105;2908705;Condeúba;Sudoeste Baiano;2000;casado;4598
106;2908804;Contendas do Sincorá;Sertão Produtivo;2000;casado;1290
107;2908903;Coração de Maria;Portal do Sertão;2000;casado;4435
108;2909000;Cordeiros;Sudoeste Baiano;2000;casado;2202
109;2909109;Coribe;Bacia do Rio Corrente;2000;casado;4916
110;2909208;Coronel João Sá;Semiárido Nordeste II;2000;casado;3767
111;2909307;Correntina;Bacia do Rio Corrente;2000;casado;9040
112;2909406;Cotegipe;Bacia do Rio Grande;2000;casado;3699
113;2909505;Cravolândia;Vale do Jiquiriçá;2000;casado;759
114;2909604;Crisópolis;Litoral Norte e Agreste Baiano;2000;casado;3402
115;2909703;Cristópolis;Bacia do Rio Grande;2000;casado;4124
116;2909802;Cruz das Almas;Recôncavo;2000;casado;12124
117;2909901;Curaçá;Sertão do São Francisco;2000;casado;8634
118;2910008;Dário Meira;Médio Rio de Contas;2000;casado;1630
119;2910057;Dias D'Ávila;Metropolitano de Salvador;2000;casado;8551
120;2910107;Dom Basílio;Sertão Produtivo;2000;casado;3734
121;2910206;Dom Macedo Costa;Recôncavo;2000;casado;932
122;2910305;Elísio Medrado;Vale do Jiquiriçá;2000;casado;2104
123;2910404;Encruzilhada;Sudoeste Baiano;2000;casado;8160
124;2910503;Entre Rios;Litoral Norte e Agreste Baiano;2000;casado;6563
125;2900504;Érico Cardoso;Bacia do Paramirim;2000;casado;3494
126;2910602;Esplanada;Litoral Norte e Agreste Baiano;2000;casado;5546
127;2910701;Euclides da Cunha;Semiárido Nordeste II;2000;casado;6789
128;2910727;Eunápolis;Costa do Descobrimento;2000;casado;17011
129;2910750;Fátima;Semiárido Nordeste II;2000;casado;3770
130;2910776;Feira da Mata;Velho Chico;2000;casado;1698
131;2910800;Feira de Santana;Portal do Sertão;2000;casado;114844
132;2910859;Filadélfia;Piemonte Norte do Itapicuru;2000;casado;5272
133;2910909;Firmino Alves;Médio Sudoeste da Bahia;2000;casado;601
134;2911006;Floresta Azul;Litoral Sul;2000;casado;1907
135;2911105;Formosa do Rio Preto;Bacia do Rio Grande;2000;casado;4579
136;2911204;Gandu;Baixo Sul;2000;casado;3725
137;2911253;Gavião;Bacia do Jacuípe;2000;casado;1031
138;2911303;Gentio do Ouro;Irecê;2000;casado;2934
139;2911402;Glória;Itaparica;2000;casado;4667
140;2911501;Gongogi;Médio Rio de Contas;2000;casado;1139
141;2911600;Governador Mangabeira;Recôncavo;2000;casado;3810
142;2911659;Guajeru;Sudoeste Baiano;2000;casado;3852
143;2911709;Guanambi;Sertão Produtivo;2000;casado;23421
144;2911808;Guaratinga;Costa do Descobrimento;2000;casado;4315
145;2911857;Heliópolis;Semiárido Nordeste II;2000;casado;1747
146;2911907;Iaçu;Piemonte do Paraguaçu;2000;casado;6535
147;2912004;Ibiassucê;Sertão Produtivo;2000;casado;3933
148;2912103;Ibicaraí;Litoral Sul;2000;casado;3736
149;2912202;Ibicoara;Chapada Diamantina;2000;casado;2919
150;2912301;Ibicuí;Médio Sudoeste da Bahia;2000;casado;2081
151;2912400;Ibipeba;Irecê;2000;casado;4809
152;2912509;Ibipitanga;Bacia do Paramirim;2000;casado;4377
153;2912608;Ibiquera;Piemonte do Paraguaçu;2000;casado;1158
154;2912707;Ibirapitanga;Baixo Sul;2000;casado;2442
155;2912806;Ibirapoã;Extremo Sul;2000;casado;1630
156;2912905;Ibirataia;Médio Rio de Contas;2000;casado;3549
157;2913002;Ibitiara;Chapada Diamantina;2000;casado;4213
158;2913101;Ibititá;Irecê;2000;casado;5343
159;2913200;Ibotirama;Velho Chico;2000;casado;6771
160;2913309;Ichu;Sisal;2000;casado;1588
161;2913408;Igaporã;Velho Chico;2000;casado;3610
162;2913457;Igrapiúna;Baixo Sul;2000;casado;1815
163;2913507;Iguaí;Médio Sudoeste da Bahia;2000;casado;4229
164;2913606;Ilhéus;Litoral Sul;2000;casado;35748
165;2913705;Inhambupe;Litoral Norte e Agreste Baiano;2000;casado;5728
166;2913804;Ipecaetá;Portal do Sertão;2000;casado;4898
167;2913903;Ipiaú;Médio Rio de Contas;2000;casado;6731
168;2914000;Ipirá;Bacia do Jacuípe;2000;casado;11927
169;2914109;Ipupiara;Irecê;2000;casado;2999
170;2914208;Irajuba;Vale do Jiquiriçá;2000;casado;1138
171;2914307;Iramaia;Chapada Diamantina;2000;casado;4428
172;2914406;Iraquara;Chapada Diamantina;2000;casado;4175
173;2914505;Irará;Portal do Sertão;2000;casado;3525
174;2914604;Irecê;Irecê;2000;casado;15172
175;2914653;Itabela;Costa do Descobrimento;2000;casado;4373
176;2914703;Itaberaba;Piemonte do Paraguaçu;2000;casado;13541
177;2914802;Itabuna;Litoral Sul;2000;casado;42494
178;2914901;Itacaré;Litoral Sul;2000;casado;2206
179;2915007;Itaeté;Chapada Diamantina;2000;casado;2725
180;2915106;Itagi;Médio Rio de Contas;2000;casado;2953
181;2915205;Itagibá;Médio Rio de Contas;2000;casado;2518
182;2915304;Itagimirim;Costa do Descobrimento;2000;casado;1189
183;2915353;Itaguaçu da Bahia;Irecê;2000;casado;2395
184;2915403;Itaju do Colônia;Litoral Sul;2000;casado;853
185;2915502;Itajuípe;Litoral Sul;2000;casado;2531
186;2915601;Itamaraju;Extremo Sul;2000;casado;10701
187;2915700;Itamari;Médio Rio de Contas;2000;casado;778
188;2915809;Itambé;Médio Sudoeste da Bahia;2000;casado;6419
189;2915908;Itanagra;Litoral Norte e Agreste Baiano;2000;casado;727
190;2916005;Itanhém;Extremo Sul;2000;casado;6517
191;2916104;Itaparica;Metropolitano de Salvador;2000;casado;3369
192;2916203;Itapé;Litoral Sul;2000;casado;2097
193;2916302;Itapebi;Costa do Descobrimento;2000;casado;1508
194;2916401;Itapetinga;Médio Sudoeste da Bahia;2000;casado;12755
195;2916500;Itapicuru;Litoral Norte e Agreste Baiano;2000;casado;4277
196;2916609;Itapitanga;Litoral Sul;2000;casado;1110
197;2916708;Itaquara;Vale do Jiquiriçá;2000;casado;1055
198;2916807;Itarantim;Médio Sudoeste da Bahia;2000;casado;5022
199;2916856;Itatim;Piemonte do Paraguaçu;2000;casado;2511
200;2916906;Itiruçu;Vale do Jiquiriçá;2000;casado;2252
201;2917003;Itiúba;Sisal;2000;casado;9132
202;2917102;Itororó;Médio Sudoeste da Bahia;2000;casado;2849
203;2917201;Ituaçu;Sertão Produtivo;2000;casado;4729
204;2917300;Ituberá;Baixo Sul;2000;casado;2530
205;2917334;Iuiu;Sertão Produtivo;2000;casado;2441
206;2917359;Jaborandi;Bacia do Rio Corrente;2000;casado;3577
207;2917409;Jacaraci;Sudoeste Baiano;2000;casado;4783
208;2917508;Jacobina;Piemonte da Diamantina;2000;casado;18134
209;2917607;Jaguaquara;Vale do Jiquiriçá;2000;casado;7312
210;2917706;Jaguarari;Piemonte Norte do Itapicuru;2000;casado;8493
211;2917805;Jaguaripe;Baixo Sul;2000;casado;1693
212;2917904;Jandaíra;Litoral Norte e Agreste Baiano;2000;casado;1299
213;2918001;Jequié;Médio Rio de Contas;2000;casado;32243
214;2918100;Jeremoabo;Semiárido Nordeste II;2000;casado;8527
