"";"Codigo.do.Municipio";"Municipios";"Territorios.de.Identidade";"Ano";"status";"total"
"1";2901155;"América Dourada";"Irecê";1991;"fxa_0a14";44,7
"2";2903003;"Barra do Mendes";"Irecê";1991;"fxa_0a14";40,5
"3";2903235;"Barro Alto";"Irecê";1991;"fxa_0a14";40,9
"4";2905305;"Cafarnaum";"Irecê";1991;"fxa_0a14";42,5
"5";2906204;"Canarana";"Irecê";1991;"fxa_0a14";42,8
"6";2907608;"Central";"Irecê";1991;"fxa_0a14";41,3
"7";2911303;"Gentio do Ouro";"Irecê";1991;"fxa_0a14";38,4
"8";2912400;"Ibipeba";"Irecê";1991;"fxa_0a14";40
"9";2913101;"Ibititá";"Irecê";1991;"fxa_0a14";40
"10";2914109;"Ipupiara";"Irecê";1991;"fxa_0a14";36,8
"11";2914604;"Irecê";"Irecê";1991;"fxa_0a14";39,8
"12";2915353;"Itaguaçu da Bahia";"Irecê";1991;"fxa_0a14";46
"13";2918357;"João Dourado";"Irecê";1991;"fxa_0a14";44,1
"14";2918506;"Jussara";"Irecê";1991;"fxa_0a14";45,3
"15";2919157;"Lapão";"Irecê";1991;"fxa_0a14";41,5
"16";2922052;"Mulungu do Morro";"Irecê";1991;"fxa_0a14";42,6
"17";2925600;"Presidente Dutra";"Irecê";1991;"fxa_0a14";39,8
"18";2929255;"São Gabriel";"Irecê";1991;"fxa_0a14";45
"19";2932408;"Uibaí";"Irecê";1991;"fxa_0a14";41,2
"20";2933604;"Xique-Xique";"Irecê";1991;"fxa_0a14";44,3
"21";2902708;"Barra";"Velho Chico";1991;"fxa_0a14";47,5
"22";2903904;"Bom Jesus da Lapa";"Velho Chico";1991;"fxa_0a14";43,6
"23";2904506;"Brotas de Macaúbas";"Velho Chico";1991;"fxa_0a14";38,8
"24";2907103;"Carinhanha";"Velho Chico";1991;"fxa_0a14";46,1
"25";2910776;"Feira da Mata";"Velho Chico";1991;"fxa_0a14";42,8
"26";2913200;"Ibotirama";"Velho Chico";1991;"fxa_0a14";42,8
"27";2913408;"Igaporã";"Velho Chico";1991;"fxa_0a14";39,1
"28";2920205;"Malhada";"Velho Chico";1991;"fxa_0a14";46,9
"29";2921054;"Matina";"Velho Chico";1991;"fxa_0a14";41,3
"30";2921609;"Morpará";"Velho Chico";1991;"fxa_0a14";41,6
"31";2922250;"Muquém do São Francisco";"Velho Chico";1991;"fxa_0a14";47,1
"32";2923209;"Oliveira dos Brejinhos";"Velho Chico";1991;"fxa_0a14";41,6
"33";2923704;"Paratinga";"Velho Chico";1991;"fxa_0a14";46,1
"34";2926400;"Riacho de Santana";"Velho Chico";1991;"fxa_0a14";39,7
"35";2930154;"Serra do Ramalho";"Velho Chico";1991;"fxa_0a14";48,1
"36";2930758;"Sítio do Mato";"Velho Chico";1991;"fxa_0a14";48,5
"37";2900108;"Abaíra";"Chapada Diamantina";1991;"fxa_0a14";34,6
"38";2901304;"Andaraí";"Chapada Diamantina";1991;"fxa_0a14";46,3
"39";2902807;"Barra da Estiva";"Chapada Diamantina";1991;"fxa_0a14";44,1
"40";2904001;"Boninal";"Chapada Diamantina";1991;"fxa_0a14";38,2
"41";2904050;"Bonito";"Chapada Diamantina";1991;"fxa_0a14";46,8
"42";2912202;"Ibicoara";"Chapada Diamantina";1991;"fxa_0a14";42,5
"43";2913002;"Ibitiara";"Chapada Diamantina";1991;"fxa_0a14";36,7
"44";2914307;"Iramaia";"Chapada Diamantina";1991;"fxa_0a14";44,8
"45";2914406;"Iraquara";"Chapada Diamantina";1991;"fxa_0a14";41,7
"46";2915007;"Itaeté";"Chapada Diamantina";1991;"fxa_0a14";44,6
"47";2918605;"Jussiape";"Chapada Diamantina";1991;"fxa_0a14";33
"48";2919306;"Lençóis";"Chapada Diamantina";1991;"fxa_0a14";44,6
"49";2920809;"Marcionílio Souza";"Chapada Diamantina";1991;"fxa_0a14";44,2
"50";2921708;"Morro do Chapéu";"Chapada Diamantina";1991;"fxa_0a14";42,9
"51";2921906;"Mucugê";"Chapada Diamantina";1991;"fxa_0a14";38
"52";2922854;"Nova Redenção";"Chapada Diamantina";1991;"fxa_0a14";47,4
"53";2923035;"Novo Horizonte";"Chapada Diamantina";1991;"fxa_0a14";40,3
"54";2923506;"Palmeiras";"Chapada Diamantina";1991;"fxa_0a14";40,1
"55";2924306;"Piatã";"Chapada Diamantina";1991;"fxa_0a14";39,7
"56";2926707;"Rio de Contas";"Chapada Diamantina";1991;"fxa_0a14";36,4
"57";2929909;"Seabra";"Chapada Diamantina";1991;"fxa_0a14";38,8
"58";2930808;"Souto Soares";"Chapada Diamantina";1991;"fxa_0a14";43,6
"59";2932804;"Utinga";"Chapada Diamantina";1991;"fxa_0a14";39,8
"60";2933406;"Wagner";"Chapada Diamantina";1991;"fxa_0a14";42,6
"61";2902104;"Araci";"Sisal";1991;"fxa_0a14";44,9
"62";2903276;"Barrocas";"Sisal";1991;"fxa_0a14";NA
"63";2903607;"Biritinga";"Sisal";1991;"fxa_0a14";41,9
"64";2906402;"Candeal";"Sisal";1991;"fxa_0a14";39,2
"65";2906808;"Cansanção";"Sisal";1991;"fxa_0a14";42,3
"66";2908408;"Conceição do Coité";"Sisal";1991;"fxa_0a14";41,2
"67";2913309;"Ichu";"Sisal";1991;"fxa_0a14";38,4
"68";2917003;"Itiúba";"Sisal";1991;"fxa_0a14";42,8
"69";2919108;"Lamarão";"Sisal";1991;"fxa_0a14";43,2
"70";2921500;"Monte Santo";"Sisal";1991;"fxa_0a14";40,9
"71";2922656;"Nordestina";"Sisal";1991;"fxa_0a14";43,7
"72";2925808;"Queimadas";"Sisal";1991;"fxa_0a14";39,2
"73";2925907;"Quijingue";"Sisal";1991;"fxa_0a14";42,6
"74";2926103;"Retirolândia";"Sisal";1991;"fxa_0a14";41,1
"75";2928000;"Santaluz";"Sisal";1991;"fxa_0a14";42,4
"76";2928950;"São Domingos";"Sisal";1991;"fxa_0a14";40,3
"77";2930501;"Serrinha";"Sisal";1991;"fxa_0a14";42,6
"78";2931509;"Teofilândia";"Sisal";1991;"fxa_0a14";44,6
"79";2931905;"Tucano";"Sisal";1991;"fxa_0a14";40,8
"80";2933000;"Valente";"Sisal";1991;"fxa_0a14";39,1
"81";2920908;"Almadina";"Litoral Sul";1991;"fxa_0a14";43,3
"82";2928059;"Arataca";"Litoral Sul";1991;"fxa_0a14";47,1
"83";2906303;"Aurelino Leal";"Litoral Sul";1991;"fxa_0a14";44,5
"84";2923902;"Barro Preto/Lomanto Junior";"Litoral Sul";1991;"fxa_0a14";42,4
"85";2905602;"Buerarema";"Litoral Sul";1991;"fxa_0a14";41,9
"86";2902252;"Camacan";"Litoral Sul";1991;"fxa_0a14";45,1
"87";2932507;"Canavieiras";"Litoral Sul";1991;"fxa_0a14";40,7
"88";2929354;"Coaraci";"Litoral Sul";1991;"fxa_0a14";39,5
"89";2918555;"Floresta Azul";"Litoral Sul";1991;"fxa_0a14";42,9
"90";2915403;"Ibicaraí";"Litoral Sul";1991;"fxa_0a14";40,6
"91";2916203;"Ilhéus";"Litoral Sul";1991;"fxa_0a14";40
"92";2912103;"Itabuna";"Litoral Sul";1991;"fxa_0a14";36,8
"93";2911006;"Itacaré";"Litoral Sul";1991;"fxa_0a14";45,8
"94";2914802;"Itaju do Colônia";"Litoral Sul";1991;"fxa_0a14";43,2
"95";2903300;"Itajuípe";"Litoral Sul";1991;"fxa_0a14";40,2
"96";2900900;"Itapé";"Litoral Sul";1991;"fxa_0a14";42,7
"97";2908002;"Itapitanga";"Litoral Sul";1991;"fxa_0a14";42,3
"98";2915502;"Jussari";"Litoral Sul";1991;"fxa_0a14";42,5
"99";2913606;"Maraú";"Litoral Sul";1991;"fxa_0a14";46,8
"100";2932705;"Mascote";"Litoral Sul";1991;"fxa_0a14";45,8
"101";2916609;"Pau Brasil";"Litoral Sul";1991;"fxa_0a14";45,1
"102";2902401;"Santa Luzia";"Litoral Sul";1991;"fxa_0a14";45,3
"103";2914901;"São José da Vitória";"Litoral Sul";1991;"fxa_0a14";44,2
"104";2932200;"Ubaitaba";"Litoral Sul";1991;"fxa_0a14";44
"105";2912707;"Una";"Litoral Sul";1991;"fxa_0a14";45,8
"106";2920700;"Uruçuca";"Litoral Sul";1991;"fxa_0a14";41,8
"107";2902302;"Aratuípe";"Baixo Sul";1991;"fxa_0a14";42,8
"108";2905404;"Cairu";"Baixo Sul";1991;"fxa_0a14";40,1
"109";2905800;"Camamu";"Baixo Sul";1991;"fxa_0a14";47
"110";2911204;"Gandu";"Baixo Sul";1991;"fxa_0a14";43,6
"111";2912707;"Ibirapitanga";"Baixo Sul";1991;"fxa_0a14";47,3
"112";2913457;"Igrapiúna";"Baixo Sul";1991;"fxa_0a14";48,1
"113";2917300;"Ituberá";"Baixo Sul";1991;"fxa_0a14";42,5
"114";2917805;"Jaguaripe";"Baixo Sul";1991;"fxa_0a14";42,7
"115";2922607;"Nilo Peçanha";"Baixo Sul";1991;"fxa_0a14";44,8
"116";2924678;"Piraí do Norte";"Baixo Sul";1991;"fxa_0a14";46,8
"117";2925758;"Presidente Tancredo Neves";"Baixo Sul";1991;"fxa_0a14";47,6
"118";2931202;"Taperoá";"Baixo Sul";1991;"fxa_0a14";44,9
"119";2931608;"Teolândia";"Baixo Sul";1991;"fxa_0a14";46,2
"120";2932903;"Valença";"Baixo Sul";1991;"fxa_0a14";41
"121";2933505;"Wenceslau Guimarães";"Baixo Sul";1991;"fxa_0a14";45,5
"122";2900801;"Alcobaça";"Extremo Sul";1991;"fxa_0a14";43,9
"123";2906907;"Caravelas";"Extremo Sul";1991;"fxa_0a14";42,2
"124";2912806;"Ibirapoã";"Extremo Sul";1991;"fxa_0a14";38,9
"125";2915601;"Itamaraju";"Extremo Sul";1991;"fxa_0a14";43,2
"126";2916005;"Itanhém";"Extremo Sul";1991;"fxa_0a14";39,1
"127";2918456;"Jucuruçu";"Extremo Sul";1991;"fxa_0a14";46,3
"128";2918902;"Lajedão";"Extremo Sul";1991;"fxa_0a14";36,2
"129";2921104;"Medeiros Neto";"Extremo Sul";1991;"fxa_0a14";37,9
"130";2922003;"Mucuri";"Extremo Sul";1991;"fxa_0a14";42,6
"131";2923001;"Nova Viçosa";"Extremo Sul";1991;"fxa_0a14";42,7
"132";2925501;"Prado";"Extremo Sul";1991;"fxa_0a14";45
"133";2931350;"Teixeira de Freitas";"Extremo Sul";1991;"fxa_0a14";39,5
"134";2933257;"Vereda";"Extremo Sul";1991;"fxa_0a14";40,5
"135";2904803;"Caatiba";"Médio Sudoeste da Bahia";1991;"fxa_0a14";41,7
"136";2910909;"Firmino Alves";"Médio Sudoeste da Bahia";1991;"fxa_0a14";40,2
"137";2912301;"Ibicuí";"Médio Sudoeste da Bahia";1991;"fxa_0a14";40,6
"138";2913507;"Iguaí";"Médio Sudoeste da Bahia";1991;"fxa_0a14";41
"139";2915809;"Itambé";"Médio Sudoeste da Bahia";1991;"fxa_0a14";41,1
"140";2916401;"Itapetinga";"Médio Sudoeste da Bahia";1991;"fxa_0a14";37,4
"141";2916807;"Itarantim";"Médio Sudoeste da Bahia";1991;"fxa_0a14";39,4
"142";2917102;"Itororó";"Médio Sudoeste da Bahia";1991;"fxa_0a14";41,3
"143";2919702;"Macarani";"Médio Sudoeste da Bahia";1991;"fxa_0a14";40
"144";2920007;"Maiquinique";"Médio Sudoeste da Bahia";1991;"fxa_0a14";39,6
"145";2922706;"Nova Canaã";"Médio Sudoeste da Bahia";1991;"fxa_0a14";37,2
"146";2925402;"Potiraguá";"Médio Sudoeste da Bahia";1991;"fxa_0a14";43,9
"147";2927804;"Santa Cruz da Vitória";"Médio Sudoeste da Bahia";1991;"fxa_0a14";43,8
"148";2901007;"Amargosa";"Vale do Jiquiriçá";1991;"fxa_0a14";38,2
"149";2904308;"Brejões";"Vale do Jiquiriçá";1991;"fxa_0a14";42,6
"150";2909505;"Cravolândia";"Vale do Jiquiriçá";1991;"fxa_0a14";45,4
"151";2910305;"Elísio Medrado";"Vale do Jiquiriçá";1991;"fxa_0a14";39,2
"152";2914208;"Irajuba";"Vale do Jiquiriçá";1991;"fxa_0a14";40,2
"153";2916708;"Itaquara";"Vale do Jiquiriçá";1991;"fxa_0a14";42,2
"154";2916906;"Itiruçu";"Vale do Jiquiriçá";1991;"fxa_0a14";41
"155";2917607;"Jaguaquara";"Vale do Jiquiriçá";1991;"fxa_0a14";40,9
"156";2918209;"Jiquiriçá";"Vale do Jiquiriçá";1991;"fxa_0a14";43,5
"157";2918704;"Lafayette Coutinho";"Vale do Jiquiriçá";1991;"fxa_0a14";41,1
"158";2919058;"Lagedo do Tabocal";"Vale do Jiquiriçá";1991;"fxa_0a14";36,7
"159";2918803;"Laje";"Vale do Jiquiriçá";1991;"fxa_0a14";42,2
"160";2920502;"Maracás";"Vale do Jiquiriçá";1991;"fxa_0a14";40,4
"161";2921302;"Milagres";"Vale do Jiquiriçá";1991;"fxa_0a14";39,3
"162";2922409;"Mutuípe";"Vale do Jiquiriçá";1991;"fxa_0a14";41
"163";2922805;"Nova Itarana";"Vale do Jiquiriçá";1991;"fxa_0a14";43,6
"164";2924900;"Planaltino";"Vale do Jiquiriçá";1991;"fxa_0a14";40,4
"165";2927903;"Santa Inês";"Vale do Jiquiriçá";1991;"fxa_0a14";40,6
"166";2929404;"São Miguel das Matas";"Vale do Jiquiriçá";1991;"fxa_0a14";38,4
"167";2932101;"Ubaíra";"Vale do Jiquiriçá";1991;"fxa_0a14";42,5
"168";2905909;"Campo Alegre de Lourdes";"Sertão do São Francisco";1991;"fxa_0a14";45,4
"169";2906824;"Canudos";"Sertão do São Francisco";1991;"fxa_0a14";40,6
"170";2907202;"Casa Nova";"Sertão do São Francisco";1991;"fxa_0a14";40,1
"171";2909901;"Curaçá";"Sertão do São Francisco";1991;"fxa_0a14";41,3
