;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;genero;total_genero
1;2900108;Abaíra;Chapada Diamantina;1991;total_homens;4255
2;2900207;Abaré;Itaparica;1991;total_homens;5589
3;2900306;Acajutiba;Litoral Norte e Agreste Baiano;1991;total_homens;6380
4;2900355;Adustina;Semiárido Nordeste II;1991;total_homens;6909
5;2900405;Água Fria;Portal do Sertão;1991;total_homens;7051
6;2900603;Aiquara;Médio Rio de Contas;1991;total_homens;3521
7;2900702;Alagoinhas;Litoral Norte e Agreste Baiano;1991;total_homens;55876
8;2900801;Alcobaça;Extremo Sul;1991;total_homens;7959
9;2900900;Almadina;Litoral Sul;1991;total_homens;5165
10;2901007;Amargosa;Vale do Jiquiriçá;1991;total_homens;13605
11;2901106;Amélia Rodrigues;Portal do Sertão;1991;total_homens;11235
12;2901155;América Dourada;Irecê;1991;total_homens;8084
13;2901205;Anagé;Sudoeste Baiano;1991;total_homens;20852
14;2901304;Andaraí;Chapada Diamantina;1991;total_homens;7210
15;2901353;Andorinha;Piemonte Norte do Itapicuru;1991;total_homens;8955
16;2901403;Angical;Bacia do Rio Grande;1991;total_homens;8432
17;2901502;Anguera;Portal do Sertão;1991;total_homens;3767
18;2901601;Antas;Semiárido Nordeste II;1991;total_homens;8553
19;2901700;Antônio Cardoso;Portal do Sertão;1991;total_homens;5638
20;2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;1991;total_homens;7017
21;2901908;Aporá;Litoral Norte e Agreste Baiano;1991;total_homens;7981
22;2901957;Apuarema;Médio Rio de Contas;1991;total_homens;3960
23;2902054;Araçás;Litoral Norte e Agreste Baiano;1991;total_homens;4600
24;2902005;Aracatu;Sudoeste Baiano;1991;total_homens;7845
25;2902104;Araci;Sisal;1991;total_homens;22870
26;2902203;Aramari;Litoral Norte e Agreste Baiano;1991;total_homens;3774
27;2902252;Arataca;Litoral Sul;1991;total_homens;7091
28;2902302;Aratuípe;Baixo Sul;1991;total_homens;3997
