Codigo do Municipio;Municipios;Territorio de Identidade;Ano;total_homens;total_mulheres;Total_urb                                                                          ;Homem_urb;Mulher_urb;Total_rural;Homem_rural;Mulher_rural
2900108;Abaíra;Chapada Diamantina;1991;4255;4499;2965;1433;1532;5789;2822;2967
2900207;Abaré;Itaparica;1991;5589;5860;2952;1383;1569;8497;4206;4291
2900306;Acajutiba;Litoral Norte e Agreste Baiano;1991;6380;6514;9728;4765;4963;3166;1615;1551
2900355;Adustina;Semi-Árido Nordeste II;1991;6909;6805;2279;1104;1175;11435;5805;5630
2900405;Água Fria;Portal do Sertão;1991;7051;7094;3122;1494;1628;11023;5557;5466
2900603;Aiquara;Médio Rio de Contas;1991;3521;3091;2455;1231;1224;4157;2290;1867
2900702;Alagoinhas;Litoral Norte e Agreste Baiano;1991;55876;61018;99508;47054;52454;17386;8822;8564
2900801;Alcobaça;Extremo Sul;1991;7959;7451;5464;2714;2750;9946;5245;4701
2900900;Almadina;Litoral Sul;1991;5165;4839;6028;2982;3046;3976;2183;1793
2901007;Amargosa;Vale de Jequiriçá;1991;13605;14421;15831;7296;8535;12195;6309;5886
2901106;Amélia Rodrigues;Portal do Sertão;1991;11235;11544;16444;7957;8487;6335;3278;3057
2901155;América Dourada;Irecê;1991;8084;7881;8247;4119;4128;7718;3965;3753
2901205;Anagé;Vitória da Conquista;1991;20852;20692;4341;2086;2255;37203;18766;18437
2901304;Andaraí;Chapada Diamantina;1991;7210;7075;5825;2834;2991;8460;4376;4084
2901353;Andorinha;Piemonte Norte do Itapicuru;1991;8955;8215;3666;1870;1796;13504;7085;6419
2901403;Angical;Bacia do Rio Grande;1991;8432;7620;3749;1904;1845;12303;6528;5775
2901502;Anguera;Portal do Sertão;1991;3767;4092;2983;1392;1591;4876;2375;2501
2901601;Antas;Semi-Árido Nordeste II;1991;8553;8551;4026;1946;2080;13078;6607;6471
2901700;Antônio Cardoso;Portal do Sertão;1991;5638;5690;808;397;411;10520;5241;5279
2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;1991;7017;7065;4540;2214;2326;9542;4803;4739
2901908;Aporá;Litoral Norte e Agreste Baiano;1991;7981;7761;5941;2957;2984;9801;5024;4777
2901957;Apuarema;Médio Rio de Contas;1991;3960;3687;3681;1869;1812;3966;2091;1875
2902054;Araçás;Litoral Norte e Agreste Baiano;1991;4600;4340;3759;1872;1887;5181;2728;2453
2902005;Aracatu;Vitória da Conquista;1991;7845;7619;2077;991;1086;13387;6854;6533
2902104;Araci;Sisal;1991;22870;22471;11584;5654;5930;33757;17216;16541
2902203;Aramari;Litoral Norte e Agreste Baiano;1991;3774;3862;3829;1864;1965;3807;1910;1897
2902252;Arataca;Litoral Sul;1991;7091;6503;4456;2246;2210;9138;4845;4293
2902302;Aratuípe;Baixo Sul;1991;3997;3814;3738;1830;1908;4073;2167;1906
2902401;Aurelino Leal;Litoral Sul;1991;8101;7636;9268;4535;4733;6469;3566;2903
2902500;Baianópolis;Bacia do Rio Grande;1991;7032;6791;2305;1153;1152;11518;5879;5639
2902609;Baixa Grande;Bacia do Jacuípe;1991;10807;10827;6071;2867;3204;15563;7940;7623
2902658;Banzaê;Semi-Árido Nordeste II;1991;5746;5743;939;468;471;10550;5278;5272
2902708;Barra;Velho Chico;1991;20179;19627;15767;7665;8102;24039;12514;11525
2902807;Barra da Estiva;Chapada Diamantina;1991;8569;8677;4659;2228;2431;12587;6341;6246
2902906;Barra do Choça;Vitória da Conquista;1991;12536;12308;11644;5712;5932;13200;6824;6376
2903003;Barra do Mendes;Irecê;1991;7251;7218;4817;2300;2517;9652;4951;4701
2903102;Barra do Rocha;Médio Rio de Contas;1991;5120;4570;3065;1507;1558;6625;3613;3012
2903201;Barreiras;Bacia do Rio Grande;1991;46778;45862;70870;35255;35615;21770;11523;10247
2903235;Barro Alto;Irecê;1991;6073;5986;2448;1184;1264;9611;4889;4722
2903300;Barro Preto/Lomanto Junior;Litoral Sul;1991;5466;5135;4589;2317;2272;6012;3149;2863
2903276;Barrocas;Sisal;1991;;;;;;;;
2903409;Belmonte;Costa do Descobrimento;1991;11191;10879;10860;5294;5566;11210;5897;5313
2903508;Belo Campo;Vitória da Conquista;1991;7200;7101;5713;2798;2915;8588;4402;4186
2903607;Biritinga;Sisal;1991;7424;7196;1781;853;928;12839;6571;6268
2903706;Boa Nova;Médio Rio de Contas;1991;6792;6713;2988;1451;1537;10517;5341;5176
2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;1991;8727;8433;4296;2083;2213;12864;6644;6220
2903904;Bom Jesus da Lapa;Velho Chico;1991;24069;24841;32390;15556;16834;16520;8513;8007
2903953;Bom Jesus da Serra;Vitória da Conquista;1991;5099;5127;1127;545;582;9099;4554;4545
2904001;Boninal;Chapada Diamantina;1991;6766;6877;2492;1188;1304;11151;5578;5573
2904050;Bonito;Chapada Diamantina;1991;5549;5536;4349;2119;2230;6736;3430;3306
2904100;Boquira;Bacia do Paramirim;1991;9443;10001;5057;2383;2674;14387;7060;7327
2904209;Botuporã;Bacia do Paramirim;1991;5025;5229;1762;844;918;8492;4181;4311
2904308;Brejões;Vale de Jequiriçá;1991;6509;6532;3352;1557;1795;9689;4952;4737
2904407;Brejolândia;Bacia do Rio Corrente;1991;5818;5450;1513;753;760;9755;5065;4690
2904506;Brotas de Macaúbas;Velho Chico;1991;7117;7146;2450;1195;1255;11813;5922;5891
2904605;Brumado;Sertão Produtivo;1991;28062;29114;36013;17296;18717;21163;10766;10397
2904704;Buerarema;Litoral Sul;1991;10670;10169;15959;7953;8006;4880;2717;2163
2904753;Buritirama;Bacia do Rio Grande;1991;6414;6125;2785;1403;1382;9754;5011;4743
2904803;Caatiba;Médio Sudoeste da Bahia;1991;4969;4738;3106;1535;1571;6601;3434;3167
2904852;Cabaceiras do Paraguaçu;Recôncavo;1991;7086;7437;1846;884;962;12677;6202;6475
2904902;Cachoeira;Recôncavo;1991;13740;14550;14193;6572;7621;14097;7168;6929
2905008;Caculé;Sertão Produtivo;1991;8696;9116;8697;4046;4651;9115;4650;4465
2905107;Caém;Piemonte da Diamantina;1991;8577;8539;3824;1817;2007;13292;6760;6532
2905156;Caetanos;Vitória da Conquista;1991;5394;5261;891;481;410;9764;4913;4851
2905206;Caetité;Sertão Produtivo;1991;19865;20515;16925;8007;8918;23455;11858;11597
2905305;Cafarnaum;Irecê;1991;6908;6796;5883;2898;2985;7821;4010;3811
2905404;Cairu;Baixo Sul;1991;8076;7141;5597;2887;2710;9620;5189;4431
2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;1991;7778;8037;4852;2325;2527;10963;5453;5510
2905602;Camacan;Litoral Sul;1991;18681;18342;16364;7948;8416;20659;10733;9926
2905701;Camaçari;Metropolitana de Salvador;1991;57095;56544;108232;54284;53948;5407;2811;2596
2905800;Camamu;Baixo Sul;1991;17117;15733;8125;3941;4184;24725;13176;11549
2905909;Campo Alegre de Lourdes;Sertão do São Francisco;1991;13048;13077;4177;2019;2158;21948;11029;10919
2906006;Campo Formoso;Piemonte Norte do Itapicuru;1991;31102;31002;16432;7754;8678;45672;23348;22324
2906105;Canápolis;Bacia do Rio Corrente;1991;4838;4637;1638;831;807;7837;4007;3830
2906204;Canarana;Irecê;1991;11486;11103;7549;3716;3833;15040;7770;7270
2906303;Canavieiras;Litoral Sul;1991;16860;16159;20658;9983;10675;12361;6877;5484
2906402;Candeal;Sisal;1991;5276;5452;2541;1207;1334;8187;4069;4118
2906501;Candeias;Metropolitana de Salvador;1991;33953;33988;61438;30447;30991;6503;3506;2997
2906600;Candiba;Sertão Produtivo;1991;6360;6250;4087;2016;2071;8523;4344;4179
2906709;Cândido Sales;Vitória da Conquista;1991;11873;11695;11883;5873;6010;11685;6000;5685
2906808;Cansanção;Sisal;1991;15508;15395;6926;3285;3641;23977;12223;11754
2906824;Canudos;Sertão do São Francisco;1991;6820;6942;5232;2467;2765;8530;4353;4177
2906857;Capela do Alto Alegre;Bacia do Jacuípe;1991;8550;8592;3425;1663;1762;13717;6887;6830
2906873;Capim Grosso;Piemonte da Diamantina;1991;9730;9929;12470;6090;6380;7189;3640;3549
