Codigo do Municipio;Municipios;Territorios Identidade;Total;Nascidos vivos;Nascidos mortos;percentual_nascidosvivos
2900108;Abaíra;Chapada Diamantina;9097;8625;472;0,051885237
2900207;Abaré;Itaparica;16956;16169;787;0,046414249
2900306;Acajutiba;Litoral Norte e Agreste Baiano;16647;16086;561;0,033699766
2900355;Adustina;Semiárido Nordeste II;17485;16746;739;0,042264798
2900405;Água Fria;Portal do Sertão;19684;18891;793;0,040286527
2900603;Aiquara;Médio Rio de Contas;5714;5348;366;0,064053203
2900702;Alagoinhas;Litoral Norte e Agreste Baiano;129497;122769;6728;0,051954872
2900801;Alcobaça;Extremo Sul;20320;19027;1293;0,06363189
2900900;Almadina;Litoral Sul;7676;7239;438;0,057060969
2901007;Amargosa;Vale do Jiquiriçá;37025;34780;2246;0,060661715
2901106;Amélia Rodrigues;Portal do Sertão;24958;24050;908;0,03638112
2901155;América Dourada;Irecê;18101;16925;1176;0,064968786
2901205;Anagé;Sudoeste Baiano;30850;28754;2096;0,067941653
2901304;Andaraí;Chapada Diamantina;15295;14606;689;0,045047401
2901353;Andorinha;Piemonte Norte do Itapicuru;14785;14184;601;0,040649307
2901403;Angical;Bacia do Rio Grande;14377;13622;754;0,052444877
2901502;Anguera;Portal do Sertão;11269;11097;172;0,015263111
2901601;Antas;Semiárido Nordeste II;15807;14915;891;0,056367432
2901700;Antônio Cardoso;Portal do Sertão;13643;12997;646;0,04735029
2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;12203;11743;460;0,037695649
2901908;Aporá;Litoral Norte e Agreste Baiano;18981;18136;844;0,044465518
2901957;Apuarema;Médio Rio de Contas;8946;8509;436;0,048736866
2902054;Araçás;Litoral Norte e Agreste Baiano;12167;11497;669;0,054984795
2902005;Aracatu;Sudoeste Baiano;17175;16106;1069;0,06224163
2902104;Araci;Sisal;61587;57526;4061;0,06593924
2902203;Aramari;Litoral Norte e Agreste Baiano;9785;9288;496;0,050689831
2902252;Arataca;Litoral Sul;11405;10771;634;0,055589654
