;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;local_natural;total_natural
1;2900108;Abaíra;Chapada Diamantina;1991;natural.do.mun;7896
2;2900207;Abaré;Itaparica;1991;natural.do.mun;9995
3;2900306;Acajutiba;Litoral Norte e Agreste Baiano;1991;natural.do.mun;11087
4;2900355;Adustina;Semiárido Nordeste II;1991;natural.do.mun;11839
5;2900405;Água Fria;Portal do Sertão;1991;natural.do.mun;13253
6;2900603;Aiquara;Médio Rio de Contas;1991;natural.do.mun;4530
7;2900702;Alagoinhas;Litoral Norte e Agreste Baiano;1991;natural.do.mun;82397
8;2900801;Alcobaça;Extremo Sul;1991;natural.do.mun;13185
9;2900900;Almadina;Litoral Sul;1991;natural.do.mun;6856
10;2901007;Amargosa;Vale do Jiquiriçá;1991;natural.do.mun;23897
11;2901106;Amélia Rodrigues;Portal do Sertão;1991;natural.do.mun;17581
12;2901155;América Dourada;Irecê;1991;natural.do.mun;11486
13;2901205;Anagé;Sudoeste Baiano;1991;natural.do.mun;40371
14;2901304;Andaraí;Chapada Diamantina;1991;natural.do.mun;12955
15;2901353;Andorinha;Piemonte Norte do Itapicuru;1991;natural.do.mun;15098
16;2901403;Angical;Bacia do Rio Grande;1991;natural.do.mun;13390
17;2901502;Anguera;Portal do Sertão;1991;natural.do.mun;6649
18;2901601;Antas;Semiárido Nordeste II;1991;natural.do.mun;15495
19;2901700;Antônio Cardoso;Portal do Sertão;1991;natural.do.mun;11113
20;2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;1991;natural.do.mun;11014
21;2901908;Aporá;Litoral Norte e Agreste Baiano;1991;natural.do.mun;13876
22;2901957;Apuarema;Médio Rio de Contas;1991;natural.do.mun;6662
23;2902054;Araçás;Litoral Norte e Agreste Baiano;1991;natural.do.mun;7881
24;2902005;Aracatu;Sudoeste Baiano;1991;natural.do.mun;14908
25;2902104;Araci;Sisal;1991;natural.do.mun;41084
26;2902203;Aramari;Litoral Norte e Agreste Baiano;1991;natural.do.mun;6481
27;2902252;Arataca;Litoral Sul;1991;natural.do.mun;8691
28;2902302;Aratuípe;Baixo Sul;1991;natural.do.mun;6629
29;2902401;Aurelino Leal;Litoral Sul;1991;natural.do.mun;9750
30;2902500;Baianópolis;Bacia do Rio Grande;1991;natural.do.mun;12643
31;2902609;Baixa Grande;Bacia do Jacuípe;1991;natural.do.mun;20716
32;2902658;Banzaê;Semiárido Nordeste II;1991;natural.do.mun;11120
33;2902708;Barra;Velho Chico;1991;natural.do.mun;36246
34;2902807;Barra da Estiva;Chapada Diamantina;1991;natural.do.mun;15302
35;2902906;Barra do Choça;Sudoeste Baiano;1991;natural.do.mun;16613
36;2903003;Barra do Mendes;Irecê;1991;natural.do.mun;12474
37;2903102;Barra do Rocha;Médio Rio de Contas;1991;natural.do.mun;7192
38;2903201;Barreiras;Bacia do Rio Grande;1991;natural.do.mun;47777
39;2903235;Barro Alto;Irecê;1991;natural.do.mun;9171
40;2903300;Barro Preto/Lomanto Junior;Litoral Sul;1991;natural.do.mun;7542
41;2903409;Belmonte;Costa do Descobrimento;1991;natural.do.mun;17964
42;2903508;Belo Campo;Sudoeste Baiano;1991;natural.do.mun;10700
43;2903607;Biritinga;Sisal;1991;natural.do.mun;13504
44;2903706;Boa Nova;Médio Rio de Contas;1991;natural.do.mun;12780
45;2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;1991;natural.do.mun;15467
46;2903904;Bom Jesus da Lapa;Velho Chico;1991;natural.do.mun;35044
47;2903953;Bom Jesus da Serra;Sudoeste Baiano;1991;natural.do.mun;9432
48;2904001;Boninal;Chapada Diamantina;1991;natural.do.mun;12881
49;2904050;Bonito;Chapada Diamantina;1991;natural.do.mun;6637
50;2904100;Boquira;Bacia do Paramirim;1991;natural.do.mun;18152
51;2904209;Botuporã;Bacia do Paramirim;1991;natural.do.mun;9806
52;2904308;Brejões;Vale do Jiquiriçá;1991;natural.do.mun;11276
53;2904407;Brejolândia;Bacia do Rio Corrente;1991;natural.do.mun;10495
54;2904506;Brotas de Macaúbas;Velho Chico;1991;natural.do.mun;13491
55;2904605;Brumado;Sertão Produtivo;1991;natural.do.mun;45032
56;2904704;Buerarema;Litoral Sul;1991;natural.do.mun;13947
57;2904753;Buritirama;Bacia do Rio Grande;1991;natural.do.mun;12150
58;2904803;Caatiba;Médio Sudoeste da Bahia;1991;natural.do.mun;8592
59;2904852;Cabaceiras do Paraguaçu;Recôncavo;1991;natural.do.mun;13980
60;2904902;Cachoeira;Recôncavo;1991;natural.do.mun;23573
61;2905008;Caculé;Sertão Produtivo;1991;natural.do.mun;15077
62;2905107;Caém;Piemonte da Diamantina;1991;natural.do.mun;15015
63;2905156;Caetanos;Sudoeste Baiano;1991;natural.do.mun;10253
64;2905206;Caetité;Sertão Produtivo;1991;natural.do.mun;36619
65;2905305;Cafarnaum;Irecê;1991;natural.do.mun;11447
