;codigo_municipio;Municipios;Territorios.de.Identidade;sexo;Ano;faixa_etarias;total_faixa
1;2900108;Abaíra;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-297
2;2900207;Abaré;Itaparica;Masculino;2000;Entre.0.a.4;-830
3;2900306;Acajutiba;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-756
4;2900355;Adustina;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-847
5;2900405;Água Fria;Portal do Sertão;Masculino;2000;Entre.0.a.4;-886
6;2900603;Érico Cardoso;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-600
7;2900702;Aiquara;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-247
8;2900801;Alagoinhas;Extremo Sul;Masculino;2000;Entre.0.a.4;-6045
9;2900900;Alcobaça;Litoral Sul;Masculino;2000;Entre.0.a.4;-1206
10;2901007;Almadina;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-385
11;2901106;Amargosa;Portal do Sertão;Masculino;2000;Entre.0.a.4;-1510
12;2901155;Amélia Rodrigues;Irecê;Masculino;2000;Entre.0.a.4;-1278
13;2901205;América Dourada;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-968
14;2901304;Anagé;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-1696
15;2901353;Andaraí;Piemonte Norte do Itapicuru;Masculino;2000;Entre.0.a.4;-918
16;2901403;Andorinha;Bacia do Rio Grande;Masculino;2000;Entre.0.a.4;-709
17;2901502;Angical;Portal do Sertão;Masculino;2000;Entre.0.a.4;-816
18;2901601;Anguera;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-383
19;2901700;Antas;Portal do Sertão;Masculino;2000;Entre.0.a.4;-639
20;2901809;Antônio Cardoso;Piemonte Norte do Itapicuru;Masculino;2000;Entre.0.a.4;-578
21;2901908;Antônio Gonçalves;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-541
22;2901957;Aporá;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-1005
23;2902054;Apuarema;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-422
24;2902005;Aracatu;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-678
25;2902104;Araças;Sisal;Masculino;2000;Entre.0.a.4;-645
26;2902203;Araci;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-3129
27;2902252;Aramari;Litoral Sul;Masculino;2000;Entre.0.a.4;-504
28;2902302;Arataca;Baixo Sul;Masculino;2000;Entre.0.a.4;-671
29;2902401;Aratuípe;Litoral Sul;Masculino;2000;Entre.0.a.4;-497
30;2902500;Aurelino Leal;Bacia do Rio Grande;Masculino;2000;Entre.0.a.4;-907
