codigo_municipio;Territorios.de.Identidade;Ano;faixa_etarias;total_faixa;sexo_num
2900108;Chapada Diamantina;2000;Entre.0.a.4;-297;1
2900207;Itaparica;2000;Entre.0.a.4;-830;1
2900306;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-756;1
2900355;Semiárido Nordeste II;2000;Entre.0.a.4;-847;1
2900405;Portal do Sertão;2000;Entre.0.a.4;-886;1
2900603;Médio Rio de Contas;2000;Entre.0.a.4;-600;1
2900702;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-247;1
2900801;Extremo Sul;2000;Entre.0.a.4;-6045;1
2900900;Litoral Sul;2000;Entre.0.a.4;-1206;1
2901007;Vale do Jiquiriçá;2000;Entre.0.a.4;-385;1
2901106;Portal do Sertão;2000;Entre.0.a.4;-1510;1
2901155;Irecê;2000;Entre.0.a.4;-1278;1
2901205;Vitória da Conquista;2000;Entre.0.a.4;-968;1
2901304;Chapada Diamantina;2000;Entre.0.a.4;-1696;1
2901353;Piemonte Norte do Itapicuru;2000;Entre.0.a.4;-918;1
2901403;Bacia do Rio Grande;2000;Entre.0.a.4;-709;1
2901502;Portal do Sertão;2000;Entre.0.a.4;-816;1
2901601;Semiárido Nordeste II;2000;Entre.0.a.4;-383;1
2901700;Portal do Sertão;2000;Entre.0.a.4;-639;1
2901809;Piemonte Norte do Itapicuru;2000;Entre.0.a.4;-578;1
2901908;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-541;1
2901957;Médio Rio de Contas;2000;Entre.0.a.4;-1005;1
2902054;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-422;1
2902005;Vitória da Conquista;2000;Entre.0.a.4;-678;1
2902104;Sisal;2000;Entre.0.a.4;-645;1
2902203;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-3129;1
2902252;Litoral Sul;2000;Entre.0.a.4;-504;1
2902302;Baixo Sul;2000;Entre.0.a.4;-671;1
2902401;Litoral Sul;2000;Entre.0.a.4;-497;1
2902500;Bacia do Rio Grande;2000;Entre.0.a.4;-907;1
2902609;Bacia do Jacuípe;2000;Entre.0.a.4;-632;1
2902658;Semiárido Nordeste II;2000;Entre.0.a.4;-1090;1
2902708;Velho Chico;2000;Entre.0.a.4;-637;1
2902807;Chapada Diamantina;2000;Entre.0.a.4;-3022;1
2902906;Vitória da Conquista;2000;Entre.0.a.4;-1262;1
2903003;Irecê;2000;Entre.0.a.4;-1943;1
2903102;Médio Rio de Contas;2000;Entre.0.a.4;-696;1
2903201;Bacia do Rio Grande;2000;Entre.0.a.4;-428;1
2903235;Irecê;2000;Entre.0.a.4;-7745;1
2903300;Litoral Sul;2000;Entre.0.a.4;-641;1
2903276;Sisal;NA;Entre.0.a.4;NA;0
2903409;Costa do Descobrimento;2000;Entre.0.a.4;-428;1
2903508;Vitória da Conquista;2000;Entre.0.a.4;-1244;1
2903607;Sisal;2000;Entre.0.a.4;-860;1
2903706;Médio Rio de Contas;2000;Entre.0.a.4;-829;1
2903805;Piemonte do Paraguaçu;2000;Entre.0.a.4;-1110;1
2903904;Velho Chico;2000;Entre.0.a.4;-1091;1
2903953;Vitória da Conquista;2000;Entre.0.a.4;-2989;1
2904001;Chapada Diamantina;2000;Entre.0.a.4;-553;1
2904050;Chapada Diamantina;2000;Entre.0.a.4;-666;1
2904100;Bacia do Paramirim;2000;Entre.0.a.4;-959;1
2904209;Bacia do Paramirim;2000;Entre.0.a.4;-1170;1
2904308;Vale do Jiquiriçá;2000;Entre.0.a.4;-607;1
2904407;Bacia do Rio Corrente;2000;Entre.0.a.4;-736;1
2904506;Velho Chico;2000;Entre.0.a.4;-338;1
2904605;Sertão Produtivo;2000;Entre.0.a.4;-635;1
2904704;Litoral Sul;2000;Entre.0.a.4;-2814;1
2904753;Bacia do Rio Grande;2000;Entre.0.a.4;-942;1
2904803;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-1228;1
2904852;Recôncavo;2000;Entre.0.a.4;-602;1
2904902;Recôncavo;2000;Entre.0.a.4;-988;1
2905008;Sertão Produtivo;2000;Entre.0.a.4;-1600;1
2905107;Piemonte da Diamantina;2000;Entre.0.a.4;-982;1
2905156;Vitória da Conquista;2000;Entre.0.a.4;-596;1
2905206;Sertão Produtivo;2000;Entre.0.a.4;-590;1
2905305;Irecê;2000;Entre.0.a.4;-2167;1
2905404;Baixo Sul;2000;Entre.0.a.4;-994;1
2905503;Piemonte Norte do Itapicuru;2000;Entre.0.a.4;-662;1
2905602;Litoral Sul;2000;Entre.0.a.4;-624;1
2905701;Metropolitano de Salvador;2000;Entre.0.a.4;-1734;1
2905800;Baixo Sul;2000;Entre.0.a.4;-8995;1
2905909;Sertão do São Francisco;2000;Entre.0.a.4;-2298;1
2906006;Piemonte Norte do Itapicuru;2000;Entre.0.a.4;-1549;1
2906105;Bacia do Rio Corrente;2000;Entre.0.a.4;-3657;1
2906204;Irecê;2000;Entre.0.a.4;-539;1
2906303;Litoral Sul;2000;Entre.0.a.4;-1247;1
2906402;Sisal;2000;Entre.0.a.4;-1819;1
2906501;Metropolitano de Salvador;2000;Entre.0.a.4;-473;1
2906600;Sertão Produtivo;2000;Entre.0.a.4;-3891;1
2906709;Vitória da Conquista;2000;Entre.0.a.4;-458;1
2906808;Sisal;2000;Entre.0.a.4;-1386;1
2906824;Sertão do São Francisco;2000;Entre.0.a.4;-1844;1
2906857;Bacia do Jacuípe;2000;Entre.0.a.4;-782;1
2906873;Piemonte da Diamantina;2000;Entre.0.a.4;-544;1
2906899;Vitória da Conquista;2000;Entre.0.a.4;-1213;1
2906907;Extremo Sul;2000;Entre.0.a.4;-647;1
2907004;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1168;1
2907103;Velho Chico;2000;Entre.0.a.4;-572;1
2907202;Sertão do São Francisco;2000;Entre.0.a.4;-1716;1
2907301;Recôncavo;2000;Entre.0.a.4;-3169;1
2907400;Bacia do Rio Grande;2000;Entre.0.a.4;-1273;1
2907509;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-152;1
2907558;Bacia do Paramirim;2000;Entre.0.a.4;-2019;1
2907608;Irecê;2000;Entre.0.a.4;-311;1
2907707;Itaparica;2000;Entre.0.a.4;-918;1
2907806;Semiárido Nordeste II;2000;Entre.0.a.4;-645;1
2907905;Semiárido Nordeste II;2000;Entre.0.a.4;-1465;1
2908002;Litoral Sul;2000;Entre.0.a.4;-827;1
2908101;Bacia do Rio Corrente;2000;Entre.0.a.4;-1211;1
2908200;Portal do Sertão;2000;Entre.0.a.4;-919;1
2908309;Recôncavo;2000;Entre.0.a.4;-934;1
2908408;Sisal;2000;Entre.0.a.4;-798;1
2908507;Portal do Sertão;2000;Entre.0.a.4;-2886;1
2908606;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1298;1
2908705;Vitória da Conquista;2000;Entre.0.a.4;-1332;1
2908804;Sertão Produtivo;2000;Entre.0.a.4;-916;1
2908903;Portal do Sertão;2000;Entre.0.a.4;-178;1
2909000;Vitória da Conquista;2000;Entre.0.a.4;-1243;1
2909109;Bacia do Rio Corrente;2000;Entre.0.a.4;-403;1
2909208;Semiárido Nordeste II;2000;Entre.0.a.4;-735;1
2909307;Bacia do Rio Corrente;2000;Entre.0.a.4;-1246;1
2909406;Bacia do Rio Grande;2000;Entre.0.a.4;-1628;1
2909505;Vale do Jiquiriçá;2000;Entre.0.a.4;-790;1
2909604;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-236;1
2909703;Bacia do Rio Grande;2000;Entre.0.a.4;-1188;1
2909802;Recôncavo;2000;Entre.0.a.4;-616;1
2909901;Sertão do São Francisco;2000;Entre.0.a.4;-2405;1
2910008;Médio Rio de Contas;2000;Entre.0.a.4;-1670;1
2910057;Metropolitano de Salvador;2000;Entre.0.a.4;-1092;1
2910107;Sertão Produtivo;2000;Entre.0.a.4;-2494;1
2910206;Recôncavo;2000;Entre.0.a.4;-471;1
2910305;Vale do Jiquiriçá;2000;Entre.0.a.4;-132;1
2910404;Vitória da Conquista;2000;Entre.0.a.4;-323;1
2910503;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1738;1
2900504;Bacia do Paramirim;2000;Entre.0.a.4;-2315;1
2910602;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1697;1
2910701;Semiárido Nordeste II;2000;Entre.0.a.4;-2873;1
2910727;Costa do Descobrimento;2000;Entre.0.a.4;-4612;1
2910750;Semiárido Nordeste II;2000;Entre.0.a.4;-972;1
2910776;Velho Chico;2000;Entre.0.a.4;-325;1
2910800;Portal do Sertão;2000;Entre.0.a.4;-23980;1
2910859;Piemonte Norte do Itapicuru;2000;Entre.0.a.4;-897;1
2910909;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-258;1
2911006;Litoral Sul;2000;Entre.0.a.4;-560;1
2911105;Bacia do Rio Grande;2000;Entre.0.a.4;-1198;1
2911204;Baixo Sul;2000;Entre.0.a.4;-1368;1
2911253;Bacia do Jacuípe;2000;Entre.0.a.4;-201;1
2911303;Irecê;2000;Entre.0.a.4;-514;1
2911402;Itaparica;2000;Entre.0.a.4;-697;1
2911501;Médio Rio de Contas;2000;Entre.0.a.4;-585;1
2911600;Recôncavo;2000;Entre.0.a.4;-838;1
2911659;Vitória da Conquista;2000;Entre.0.a.4;-542;1
2911709;Sertão Produtivo;2000;Entre.0.a.4;-3200;1
2911808;Costa do Descobrimento;2000;Entre.0.a.4;-1279;1
2911857;Semiárido Nordeste II;2000;Entre.0.a.4;-772;1
2911907;Piemonte do Paraguaçu;2000;Entre.0.a.4;-1606;1
2912004;Sertão Produtivo;2000;Entre.0.a.4;-560;1
2912103;Litoral Sul;2000;Entre.0.a.4;-1426;1
2912202;Chapada Diamantina;2000;Entre.0.a.4;-945;1
2912301;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-717;1
2912400;Irecê;2000;Entre.0.a.4;-758;1
2912509;Bacia do Paramirim;2000;Entre.0.a.4;-710;1
2912608;Piemonte do Paraguaçu;2000;Entre.0.a.4;-224;1
2912707;Baixo Sul;2000;Entre.0.a.4;-1433;1
2912806;Extremo Sul;2000;Entre.0.a.4;-336;1
2912905;Médio Rio de Contas;2000;Entre.0.a.4;-1184;1
2913002;Chapada Diamantina;2000;Entre.0.a.4;-675;1
2913101;Irecê;2000;Entre.0.a.4;-919;1
