Municipios;Ano;CD_GEOCMU;total_pop_mun;fxa_pop_mun
BARROCAS;1991;2903276;NA;NA
BARROCAS;2000;2903276;NA;NA
LUÍS EDUARDO MAGALHÃES;1991;2919553;NA;NA
LUÍS EDUARDO MAGALHÃES;2000;2919553;NA;NA
SALVADOR;1991;2927408;2075273;Mais de 600 mil
SALVADOR;2000;2927408;2443107;Mais de 600 mil
SALVADOR;2010;2927408;2675656;Mais de 600 mil
ABAÍRA;2010;2900108;8316;Até 10 mil
ABAÍRA;1991;2900108;8754;Até 10 mil
ABAÍRA;2000;2900108;9067;Até 10 mil
AIQUARA;2010;2900603;4602;Até 10 mil
AIQUARA;2000;2900603;5315;Até 10 mil
AIQUARA;1991;2900603;6612;Até 10 mil
ALMADINA;2010;2900900;6357;Até 10 mil
ALMADINA;2000;2900900;7862;Até 10 mil
ANGUERA;1991;2901502;7859;Até 10 mil
ANGUERA;2000;2901502;8834;Até 10 mil
ANTÔNIO GONÇALVES;2000;2901809;9716;Até 10 mil
APUAREMA;2000;2901957;7443;Até 10 mil
APUAREMA;2010;2901957;7459;Até 10 mil
APUAREMA;1991;2901957;7647;Até 10 mil
ARAÇÁS;1991;2902054;8940;Até 10 mil
ARAMARI;1991;2902203;7636;Até 10 mil
ARAMARI;2000;2902203;9258;Até 10 mil
ARATUÍPE;1991;2902302;7811;Até 10 mil
ARATUÍPE;2000;2902302;8381;Até 10 mil
ARATUÍPE;2010;2902302;8599;Até 10 mil
BARRA DO ROCHA;2010;2903102;6313;Até 10 mil
BARRA DO ROCHA;2000;2903102;8074;Até 10 mil
BARRA DO ROCHA;1991;2903102;9690;Até 10 mil
BARRO PRETO/LOMANTO JUNIOR;2010;2903300;6453;Até 10 mil
BARRO PRETO/LOMANTO JUNIOR;2000;2903300;8602;Até 10 mil
BREJOLÂNDIA;2000;2904407;8762;Até 10 mil
CAATIBA;1991;2904803;9707;Até 10 mil
CANÁPOLIS;2010;2906105;9410;Até 10 mil
CANÁPOLIS;1991;2906105;9475;Até 10 mil
CANÁPOLIS;2000;2906105;9743;Até 10 mil
CANDEAL;2010;2906402;8895;Até 10 mil
CARDEAL DA SILVA;1991;2907004;6400;Até 10 mil
CARDEAL DA SILVA;2000;2907004;8034;Até 10 mil
CARDEAL DA SILVA;2010;2907004;8899;Até 10 mil
CATOLÂNDIA;2010;2907400;2612;Até 10 mil
CATOLÂNDIA;2000;2907400;3092;Até 10 mil
CATOLÂNDIA;1991;2907400;3274;Até 10 mil
CATURAMA;2000;2907558;8640;Até 10 mil
CATURAMA;2010;2907558;8843;Até 10 mil
CATURAMA;1991;2907558;9714;Até 10 mil
CHORROCHÓ;1991;2907707;9603;Até 10 mil
CONTENDAS DO SINCORÁ;2000;2908804;4264;Até 10 mil
CONTENDAS DO SINCORÁ;2010;2908804;4663;Até 10 mil
