"Anos";"genero";"total_gen"
2010;"Masculino";7022509
2011;"Masculino";7049709
2012;"Masculino";7075846
2013;"Masculino";7099339
2014;"Masculino";7121398
2015;"Masculino";7144691
2016;"Masculino";7166690
2017;"Masculino";7188472
2018;"Masculino";7211608
2019;"Masculino";7233509
2020;"Masculino";7254101
2021;"Masculino";7273278
2022;"Masculino";7290913
2023;"Masculino";7306926
2024;"Masculino";7321284
2025;"Masculino";7333933
2026;"Masculino";7344806
2027;"Masculino";7353839
2028;"Masculino";7361000
2029;"Masculino";7366269
2030;"Masculino";7369659
2031;"Masculino";7370991
2032;"Masculino";7370061
2033;"Masculino";7366879
2034;"Masculino";7361457
2035;"Masculino";7353803
2036;"Masculino";7343940
2037;"Masculino";7331886
2038;"Masculino";7317652
2039;"Masculino";7301245
2040;"Masculino";7282689
2041;"Masculino";7262041
2042;"Masculino";7239362
2043;"Masculino";7214668
2044;"Masculino";7187956
2045;"Masculino";7159256
2046;"Masculino";7128614
2047;"Masculino";7096070
2048;"Masculino";7061642
2049;"Masculino";7025342
2050;"Masculino";6987193
2051;"Masculino";6947213
2052;"Masculino";6905426
2053;"Masculino";6861847
2054;"Masculino";6816485
2055;"Masculino";6769359
2056;"Masculino";6720496
2057;"Masculino";6669933
2058;"Masculino";6617708
2059;"Masculino";6563854
2060;"Masculino";6508424
2010;"Feminino";7280062
2011;"Feminino";7323285
2012;"Feminino";7365685
2013;"Feminino";7405694
2014;"Feminino";7444409
2015;"Feminino";7484327
2016;"Feminino";7522994
2017;"Feminino";7561396
2018;"Feminino";7601009
2019;"Feminino";7639349
2020;"Feminino";7676323
2021;"Feminino";7711792
2022;"Feminino";7745604
2023;"Feminino";7777674
2024;"Feminino";7807941
2025;"Feminino";7836320
2026;"Feminino";7862719
2027;"Feminino";7887070
2028;"Feminino";7909303
2029;"Feminino";7929373
2030;"Feminino";7947293
2031;"Feminino";7962888
2032;"Feminino";7975967
2033;"Feminino";7986523
2034;"Feminino";7994541
2035;"Feminino";8000011
2036;"Feminino";8002929
2037;"Feminino";8003291
2038;"Feminino";8001083
2039;"Feminino";7996279
2040;"Feminino";7988891
2041;"Feminino";7978963
2042;"Feminino";7966526
2043;"Feminino";7951570
2044;"Feminino";7934068
2045;"Feminino";7914035
2046;"Feminino";7891491
2047;"Feminino";7866452
2048;"Feminino";7838923
2049;"Feminino";7808901
2050;"Feminino";7776397
2051;"Feminino";7741428
2052;"Feminino";7704010
2053;"Feminino";7664146
2054;"Feminino";7621843
2055;"Feminino";7577102
2056;"Feminino";7529938
2057;"Feminino";7480374
2058;"Feminino";7428417
2059;"Feminino";7374114
2060;"Feminino";7317534
