"";"Codigo.do.Municipio";"Municipios";"Territorios.de.Identidade";"Ano";"Cor";"PercentCor"
"1";2900108;"Abaíra";"Chapada Diamantina";1991;"Branca";73,7
"2";2900207;"Abaré";"Itaparica";1991;"Branca";16,4
"3";2900306;"Acajutiba";"Litoral Norte e Agreste Baiano";1991;"Branca";12,9
"4";2900355;"Adustina";"Semiárido Nordeste II";1991;"Branca";5,7
"5";2900405;"Água Fria";"Portal do Sertão";1991;"Branca";6,5
"6";2900603;"Aiquara";"Médio Rio de Contas";1991;"Branca";4,9
"7";2900702;"Alagoinhas";"Litoral Norte e Agreste Baiano";1991;"Branca";16,8
"8";2900801;"Alcobaça";"Extremo Sul";1991;"Branca";8,2
"9";2900900;"Almadina";"Litoral Sul";1991;"Branca";20,1
"10";2901007;"Amargosa";"Vale do Jiquiriçá";1991;"Branca";22,3
"11";2901106;"Amélia Rodrigues";"Portal do Sertão";1991;"Branca";4,2
"12";2901155;"América Dourada";"Irecê";1991;"Branca";17,6
"13";2901205;"Anagé";"Sudoeste Baiano";1991;"Branca";28,4
"14";2901304;"Andaraí";"Chapada Diamantina";1991;"Branca";5,6
"15";2901353;"Andorinha";"Piemonte Norte do Itapicuru";1991;"Branca";18,7
"16";2901403;"Angical";"Bacia do Rio Grande";1991;"Branca";19,7
"17";2901502;"Anguera";"Portal do Sertão";1991;"Branca";7,8
"18";2901601;"Antas";"Semiárido Nordeste II";1991;"Branca";35,4
"19";2901700;"Antônio Cardoso";"Portal do Sertão";1991;"Branca";9
"20";2901809;"Antônio Gonçalves";"Piemonte Norte do Itapicuru";1991;"Branca";14,2
"21";2901908;"Aporá";"Litoral Norte e Agreste Baiano";1991;"Branca";16,8
"22";2901957;"Apuarema";"Médio Rio de Contas";1991;"Branca";13
"23";2902054;"Araçás";"Litoral Norte e Agreste Baiano";1991;"Branca";5,8
"24";2902005;"Aracatu";"Sudoeste Baiano";1991;"Branca";53,6
"25";2902104;"Araci";"Sisal";1991;"Branca";17
"26";2902203;"Aramari";"Litoral Norte e Agreste Baiano";1991;"Branca";4,5
"27";2902252;"Arataca";"Litoral Sul";1991;"Branca";7,6
"28";2902302;"Aratuípe";"Baixo Sul";1991;"Branca";4,3
"29";2902401;"Aurelino Leal";"Litoral Sul";1991;"Branca";9,4
"30";2902500;"Baianópolis";"Bacia do Rio Grande";1991;"Branca";31,4
"31";2902609;"Baixa Grande";"Bacia do Jacuípe";1991;"Branca";12,3
"32";2902658;"Banzaê";"Semiárido Nordeste II";1991;"Branca";33
"33";2902708;"Barra";"Velho Chico";1991;"Branca";10,4
"34";2902807;"Barra da Estiva";"Chapada Diamantina";1991;"Branca";29,3
"35";2902906;"Barra do Choça";"Sudoeste Baiano";1991;"Branca";24,6
"36";2903003;"Barra do Mendes";"Irecê";1991;"Branca";36
"37";2903102;"Barra do Rocha";"Médio Rio de Contas";1991;"Branca";8,5
"38";2903201;"Barreiras";"Bacia do Rio Grande";1991;"Branca";28,8
"39";2903235;"Barro Alto";"Irecê";1991;"Branca";27,4
