;Codigo.do.Municipio;Municipios;Territorio.de.Identidade;Ano;status;total
1;2900108;Abaíra;Chapada Diamantina;1991;Total_urb;2965
2;2900207;Abaré;Itaparica;1991;Total_urb;2952
3;2900306;Acajutiba;Litoral Norte e Agreste Baiano;1991;Total_urb;9728
4;2900355;Adustina;Semi-Árido Nordeste II;1991;Total_urb;2279
5;2900405;Água Fria;Portal do Sertão;1991;Total_urb;3122
6;2900603;Aiquara;Médio Rio de Contas;1991;Total_urb;2455
7;2900702;Alagoinhas;Litoral Norte e Agreste Baiano;1991;Total_urb;99508
8;2900801;Alcobaça;Extremo Sul;1991;Total_urb;5464
9;2900900;Almadina;Litoral Sul;1991;Total_urb;6028
10;2901007;Amargosa;Vale de Jequiriçá;1991;Total_urb;15831
11;2901106;Amélia Rodrigues;Portal do Sertão;1991;Total_urb;16444
12;2901155;América Dourada;Irecê;1991;Total_urb;8247
13;2901205;Anagé;Vitória da Conquista;1991;Total_urb;4341
14;2901304;Andaraí;Chapada Diamantina;1991;Total_urb;5825
15;2901353;Andorinha;Piemonte Norte do Itapicuru;1991;Total_urb;3666
16;2901403;Angical;Bacia do Rio Grande;1991;Total_urb;3749
17;2901502;Anguera;Portal do Sertão;1991;Total_urb;2983
18;2901601;Antas;Semi-Árido Nordeste II;1991;Total_urb;4026
19;2901700;Antônio Cardoso;Portal do Sertão;1991;Total_urb;808
20;2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;1991;Total_urb;4540
21;2901908;Aporá;Litoral Norte e Agreste Baiano;1991;Total_urb;5941
22;2901957;Apuarema;Médio Rio de Contas;1991;Total_urb;3681
23;2902054;Araçás;Litoral Norte e Agreste Baiano;1991;Total_urb;3759
24;2902005;Aracatu;Vitória da Conquista;1991;Total_urb;2077
25;2902104;Araci;Sisal;1991;Total_urb;11584
26;2902203;Aramari;Litoral Norte e Agreste Baiano;1991;Total_urb;3829
27;2902252;Arataca;Litoral Sul;1991;Total_urb;4456
28;2902302;Aratuípe;Baixo Sul;1991;Total_urb;3738
29;2902401;Aurelino Leal;Litoral Sul;1991;Total_urb;9268
30;2902500;Baianópolis;Bacia do Rio Grande;1991;Total_urb;2305
31;2902609;Baixa Grande;Bacia do Jacuípe;1991;Total_urb;6071
32;2902658;Banzaê;Semi-Árido Nordeste II;1991;Total_urb;939
33;2902708;Barra;Velho Chico;1991;Total_urb;15767
34;2902807;Barra da Estiva;Chapada Diamantina;1991;Total_urb;4659
35;2902906;Barra do Choça;Vitória da Conquista;1991;Total_urb;11644
36;2903003;Barra do Mendes;Irecê;1991;Total_urb;4817
37;2903102;Barra do Rocha;Médio Rio de Contas;1991;Total_urb;3065
38;2903201;Barreiras;Bacia do Rio Grande;1991;Total_urb;70870
39;2903235;Barro Alto;Irecê;1991;Total_urb;2448
40;2903300;Barro Preto/Lomanto Junior;Litoral Sul;1991;Total_urb;4589
41;2903276;Barrocas;Sisal;1991;Total_urb;NA
42;2903409;Belmonte;Costa do Descobrimento;1991;Total_urb;10860
43;2903508;Belo Campo;Vitória da Conquista;1991;Total_urb;5713
44;2903607;Biritinga;Sisal;1991;Total_urb;1781
45;2903706;Boa Nova;Médio Rio de Contas;1991;Total_urb;2988
46;2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;1991;Total_urb;4296
47;2903904;Bom Jesus da Lapa;Velho Chico;1991;Total_urb;32390
48;2903953;Bom Jesus da Serra;Vitória da Conquista;1991;Total_urb;1127
49;2904001;Boninal;Chapada Diamantina;1991;Total_urb;2492
50;2904050;Bonito;Chapada Diamantina;1991;Total_urb;4349
51;2904100;Boquira;Bacia do Paramirim;1991;Total_urb;5057
52;2904209;Botuporã;Bacia do Paramirim;1991;Total_urb;1762
53;2904308;Brejões;Vale de Jequiriçá;1991;Total_urb;3352
54;2904407;Brejolândia;Bacia do Rio Corrente;1991;Total_urb;1513
55;2904506;Brotas de Macaúbas;Velho Chico;1991;Total_urb;2450
56;2904605;Brumado;Sertão Produtivo;1991;Total_urb;36013
57;2904704;Buerarema;Litoral Sul;1991;Total_urb;15959
58;2904753;Buritirama;Bacia do Rio Grande;1991;Total_urb;2785
59;2904803;Caatiba;Médio Sudoeste da Bahia;1991;Total_urb;3106
60;2904852;Cabaceiras do Paraguaçu;Recôncavo;1991;Total_urb;1846
61;2904902;Cachoeira;Recôncavo;1991;Total_urb;14193
62;2905008;Caculé;Sertão Produtivo;1991;Total_urb;8697
63;2905107;Caém;Piemonte da Diamantina;1991;Total_urb;3824
64;2905156;Caetanos;Vitória da Conquista;1991;Total_urb;891
65;2905206;Caetité;Sertão Produtivo;1991;Total_urb;16925
66;2905305;Cafarnaum;Irecê;1991;Total_urb;5883
67;2905404;Cairu;Baixo Sul;1991;Total_urb;5597
68;2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;1991;Total_urb;4852
69;2905602;Camacan;Litoral Sul;1991;Total_urb;16364
70;2905701;Camaçari;Metropolitana de Salvador;1991;Total_urb;108232
71;2905800;Camamu;Baixo Sul;1991;Total_urb;8125
72;2905909;Campo Alegre de Lourdes;Sertão do São Francisco;1991;Total_urb;4177
73;2906006;Campo Formoso;Piemonte Norte do Itapicuru;1991;Total_urb;16432
74;2906105;Canápolis;Bacia do Rio Corrente;1991;Total_urb;1638
75;2906204;Canarana;Irecê;1991;Total_urb;7549
76;2906303;Canavieiras;Litoral Sul;1991;Total_urb;20658
77;2906402;Candeal;Sisal;1991;Total_urb;2541
78;2906501;Candeias;Metropolitana de Salvador;1991;Total_urb;61438
79;2906600;Candiba;Sertão Produtivo;1991;Total_urb;4087
80;2906709;Cândido Sales;Vitória da Conquista;1991;Total_urb;11883
81;2906808;Cansanção;Sisal;1991;Total_urb;6926
82;2906824;Canudos;Sertão do São Francisco;1991;Total_urb;5232
83;2906857;Capela do Alto Alegre;Bacia do Jacuípe;1991;Total_urb;3425
84;2906873;Capim Grosso;Piemonte da Diamantina;1991;Total_urb;12470
85;2906899;Caraíbas;Vitória da Conquista;1991;Total_urb;518
86;2906907;Caravelas;Extremo Sul;1991;Total_urb;8932
87;2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;1991;Total_urb;2274
88;2907103;Carinhanha;Velho Chico;1991;Total_urb;7325
89;2907202;Casa Nova;Sertão do São Francisco;1991;Total_urb;18482
90;2907301;Castro Alves;Recôncavo;1991;Total_urb;13187
91;2907400;Catolândia;Bacia do Rio Grande;1991;Total_urb;801
92;2907509;Catu;Litoral Norte e Agreste Baiano;1991;Total_urb;33394
93;2907558;Caturama;Bacia do Paramirim;1991;Total_urb;1192
94;2907608;Central;Irecê;1991;Total_urb;6621
95;2907707;Chorrochó;Itaparica;1991;Total_urb;1528
96;2907806;Cícero Dantas;Semi-Árido Nordeste II;1991;Total_urb;12124
97;2907905;Cipó;Semi-Árido Nordeste II;1991;Total_urb;7770
98;2908002;Coaraci;Litoral Sul;1991;Total_urb;21659
99;2908101;Côcos;Bacia do Rio Corrente;1991;Total_urb;4972
100;2908200;Conceição da Feira;Portal do Sertão;1991;Total_urb;8035
101;2908309;Conceição do Almeida;Recôncavo;1991;Total_urb;7659
102;2908408;Conceição do Coité;Sisal;1991;Total_urb;20002
103;2908507;Conceição do Jacuípe;Portal do Sertão;1991;Total_urb;16174
104;2908606;Conde;Litoral Norte e Agreste Baiano;1991;Total_urb;5494
105;2908705;Condeúba;Vitória da Conquista;1991;Total_urb;5761
106;2908804;Contendas do Sincorá;Sertão Produtivo;1991;Total_urb;2181
107;2908903;Coração de Maria;Portal do Sertão;1991;Total_urb;5570
108;2909000;Cordeiros;Vitória da Conquista;1991;Total_urb;2296
109;2909109;Coribe;Bacia do Rio Corrente;1991;Total_urb;4825
110;2909208;Coronel João Sá;Semi-Árido Nordeste II;1991;Total_urb;2972
111;2909307;Correntina;Bacia do Rio Corrente;1991;Total_urb;8636
112;2909406;Cotegipe;Bacia do Rio Grande;1991;Total_urb;5118
113;2909505;Cravolândia;Vale de Jequiriçá;1991;Total_urb;2475
114;2909604;Crisópolis;Litoral Norte e Agreste Baiano;1991;Total_urb;4057
115;2909703;Cristópolis;Bacia do Rio Grande;1991;Total_urb;2252
116;2909802;Cruz das Almas;Recôncavo;1991;Total_urb;30908
117;2909901;Curaçá;Sertão do São Francisco;1991;Total_urb;7749
118;2910008;Dário Meira;Médio Rio de Contas;1991;Total_urb;4102
119;2910057;Dias D'Ávila;Metropolitana de Salvador;1991;Total_urb;29478
120;2910107;Dom Basílio;Sertão Produtivo;1991;Total_urb;1109
121;2910206;Dom Macedo Costa;Recôncavo;1991;Total_urb;853
122;2910305;Elísio Medrado;Vale de Jequiriçá;1991;Total_urb;1997
123;2910404;Encruzilhada;Vitória da Conquista;1991;Total_urb;3692
124;2910503;Entre Rios;Litoral Norte e Agreste Baiano;1991;Total_urb;16897
125;2900504;Érico Cardoso;Bacia do Paramirim;1991;Total_urb;1108
126;2910602;Esplanada;Litoral Norte e Agreste Baiano;1991;Total_urb;15198
127;2910701;Euclides da Cunha;Semi-Árido Nordeste II;1991;Total_urb;17778
128;2910727;Eunápolis;Costa do Descobrimento;1991;Total_urb;63540
129;2910750;Fátima;Semi-Árido Nordeste II;1991;Total_urb;4344
130;2910776;Feira da Mata;Velho Chico;1991;Total_urb;1470
131;2910800;Feira de Santana;Portal do Sertão;1991;Total_urb;349557
132;2910859;Filadélfia;Piemonte Norte do Itapicuru;1991;Total_urb;4902
133;2910909;Firmino Alves;Médio Sudoeste da Bahia;1991;Total_urb;3793
134;2911006;Floresta Azul;Litoral Sul;1991;Total_urb;7766
135;2911105;Formosa do Rio Preto;Bacia do Rio Grande;1991;Total_urb;5624
136;2911204;Gandu;Baixo Sul;1991;Total_urb;19597
137;2911253;Gavião;Bacia do Jacuípe;1991;Total_urb;2486
138;2911303;Gentio do Ouro;Irecê;1991;Total_urb;4163
139;2911402;Glória;Itaparica;1991;Total_urb;1611
140;2911501;Gongogi;Médio Rio de Contas;1991;Total_urb;5676
141;2911600;Governador Mangabeira;Recôncavo;1991;Total_urb;5338
142;2911659;Guajeru;Vitória da Conquista;1991;Total_urb;1044
143;2911709;Guanambi;Sertão Produtivo;1991;Total_urb;45127
144;2911808;Guaratinga;Costa do Descobrimento;1991;Total_urb;9159
145;2911857;Heliópolis;Semi-Árido Nordeste II;1991;Total_urb;2367
146;2911907;Iaçu;Piemonte do Paraguaçu;1991;Total_urb;18806
147;2912004;Ibiassucê;Sertão Produtivo;1991;Total_urb;2956
148;2912103;Ibicaraí;Litoral Sul;1991;Total_urb;19332
149;2912202;Ibicoara;Chapada Diamantina;1991;Total_urb;1253
150;2912301;Ibicuí;Médio Sudoeste da Bahia;1991;Total_urb;9308
151;2912400;Ibipeba;Irecê;1991;Total_urb;4973
152;2912509;Ibipitanga;Bacia do Paramirim;1991;Total_urb;2199
153;2912608;Ibiquera;Piemonte do Paraguaçu;1991;Total_urb;2060
154;2912707;Ibirapitanga;Baixo Sul;1991;Total_urb;6697
155;2912806;Ibirapoã;Extremo Sul;1991;Total_urb;3413
156;2912905;Ibirataia;Médio Rio de Contas;1991;Total_urb;15369
157;2913002;Ibitiara;Chapada Diamantina;1991;Total_urb;2921
158;2913101;Ibititá;Irecê;1991;Total_urb;6588
159;2913200;Ibotirama;Velho Chico;1991;Total_urb;15231
160;2913309;Ichu;Sisal;1991;Total_urb;3124
161;2913408;Igaporã;Velho Chico;1991;Total_urb;5903
162;2913457;Igrapiúna;Baixo Sul;1991;Total_urb;966
163;2913507;Iguaí;Médio Sudoeste da Bahia;1991;Total_urb;9062
164;2913606;Ilhéus;Litoral Sul;1991;Total_urb;144232
165;2913705;Inhambupe;Litoral Norte e Agreste Baiano;1991;Total_urb;10057
166;2913804;Ipecaetá;Portal do Sertão;1991;Total_urb;1411
167;2913903;Ipiaú;Médio Rio de Contas;1991;Total_urb;36408
168;2914000;Ipirá;Bacia do Jacuípe;1991;Total_urb;18088
169;2914109;Ipupiara;Irecê;1991;Total_urb;4102
170;2914208;Irajuba;Vale de Jequiriçá;1991;Total_urb;1832
171;2914307;Iramaia;Chapada Diamantina;1991;Total_urb;6817
172;2914406;Iraquara;Chapada Diamantina;1991;Total_urb;4093
173;2914505;Irará;Portal do Sertão;1991;Total_urb;7368
174;2914604;Irecê;Irecê;1991;Total_urb;40069
175;2914653;Itabela;Costa do Descobrimento;1991;Total_urb;13577
176;2914703;Itaberaba;Piemonte do Paraguaçu;1991;Total_urb;36934
177;2914802;Itabuna;Litoral Sul;1991;Total_urb;177561
178;2914901;Itacaré;Litoral Sul;1991;Total_urb;4275
179;2915007;Itaeté;Chapada Diamantina;1991;Total_urb;4676
180;2915106;Itagi;Médio Rio de Contas;1991;Total_urb;8536
181;2915205;Itagibá;Médio Rio de Contas;1991;Total_urb;7284
182;2915304;Itagimirim;Costa do Descobrimento;1991;Total_urb;5078
183;2915353;Itaguaçu da Bahia;Irecê;1991;Total_urb;1530
184;2915403;Itaju do Colônia;Litoral Sul;1991;Total_urb;2885
185;2915502;Itajuípe;Litoral Sul;1991;Total_urb;15972
186;2915601;Itamaraju;Extremo Sul;1991;Total_urb;44449
